"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Dissection Angular gyrus AnG"	"seurat"	0.905012945850841	0.0282797051057349	Inf	0.833333653852677	0.94779584598802
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.904120782644672	0.0285183082324029	Inf	0.831889737782328	0.947283384836006
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.896075583559412	0.0306343160504742	Inf	0.819002942403167	0.942627975709024
"Dissection Primary auditory cortexA1"	"seurat"	0.903935936027258	0.0285675154843066	Inf	0.831591359036977	0.94717696723135
"Dissection Primary somatosensory cortex S1"	"seurat"	0.903887448711852	0.0285788867744603	Inf	0.83151795029197	0.947147318625716
"Dissection Primary visual cortexV1"	"seurat"	0.904979374692503	0.0282891651374757	Inf	0.833277786733139	0.94777710350346
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.908607715567462	0.0273209320522187	Inf	0.839148209040621	0.949865015058604
"Single-nucleus transcriptome data from the dlPFC"	"seurat"	0.912123686479121	0.0263694957809781	Inf	0.844886646224783	0.951875566662346
"whole cortex"	"seurat"	0.895373870652838	0.0308181765033628	Inf	0.817882958705709	0.942221649754244
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.911163698985852	0.0266291029455839	Inf	0.843319609089382	0.951326213574377
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.908400747381561	0.0273735232562443	Inf	0.838821537052366	0.949742890311145
"Dissection Angular gyrus AnG"	"scvi"	0.928985577960323	0.0217072384971971	Inf	0.872839670419931	0.961436315246326
"Dissection Anterior cingulate cortex ACC"	"scvi"	0.933149736453988	0.0205269085209145	Inf	0.879867243882411	0.963772866119443
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi"	0.898798297672296	0.0299208549727536	Inf	0.823351562020169	0.944205281473504
"Dissection Primary auditory cortexA1"	"scvi"	0.923398900474298	0.0232731221162511	Inf	0.863488376147917	0.958286785090309
"Dissection Primary somatosensory cortex S1"	"scvi"	0.932222181817663	0.0207907657927937	Inf	0.878297701378621	0.963253183388896
"Dissection Primary visual cortexV1"	"scvi"	0.922315794808152	0.0235732152562585	Inf	0.861689268995931	0.957672932393857
"Human Multiple Cortical Areas SMART-seq"	"scvi"	0.875891911931414	0.0357887772522361	Inf	0.787314888348252	0.930820643297568
"Single-nucleus transcriptome data from the dlPFC"	"scvi"	0.91896845519621	0.0244974682051378	Inf	0.856144371307901	0.955773539999468
"whole cortex"	"scvi"	0.931009840241496	0.0211348587243314	Inf	0.87624974742829	0.962573312815548
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.931562109416113	0.0209786462610209	Inf	0.877180769925819	0.962883577451237
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.93038975010047	0.0213107462862084	Inf	0.87520301830669	0.962225549064888
