"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.887360586401028	0.0228536425617312	0.834230822182993	0.924993065402271
0.05	"seurat"	0.885304288355919	0.0232144155764709	0.831395691860785	0.923561176256192
0.1	"seurat"	0.883215391851411	0.0235796188968401	0.828520067943904	0.922105250971685
0.15	"seurat"	0.881093561051588	0.0239492510385437	0.82560368804658	0.920624992491888
0.2	"seurat"	0.878938463383961	0.0243233078162247	0.822646300527322	0.919120103606786
0.25	"seurat"	0.876749769842123	0.0247017822405387	0.81964766500019	0.917590287092677
0.5	"seurat"	0.865291138161859	0.0266599650058751	0.80402820720545	0.909556904876767
0.75	"seurat"	0.852945873517907	0.0287257447132022	0.787348881037002	0.900856006657622
0	"scvi"	0.945507571582355	0.0117834035448101	0.917238624236969	0.964494416568224
0.05	"scvi"	0.928053852675286	0.0152677001368763	0.891774575198034	0.952815088750753
0.1	"scvi"	0.905568106788368	0.0195510619071666	0.859672576731393	0.937543572467401
0.15	"scvi"	0.876986270451489	0.0246620329513617	0.819968556836891	0.917757142419745
0.2	"scvi"	0.841269879935625	0.0305241423140449	0.772007405551402	0.892422986589543
0.25	"scvi"	0.797577006489324	0.036903017920878	0.715696267065329	0.860473105885805
0.5	"scvi"	0.472223022773211	0.0569829988985091	0.363697732580605	0.583438697367693
0.75	"scvi"	0.168869064117753	0.0321250194353752	0.114834419708632	0.241395491670239
