"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	0.963412799254758	0.0195571838093591	Inf	1	-1.83613213607889	0.969501603688566
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	1.0912520673997	0.0221765132296383	Inf	1	4.29708558962692	0.00342790408911831
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	0.982767297824257	0.0199463512615576	Inf	1	-0.856465355115579	0.999999722046247
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	0.998341108813624	0.0202739971970702	Inf	1	-0.0817556818614669	1
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	0.994846835180347	0.0202083040038417	Inf	1	-0.254344174491753	1
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.01036318577003	0.0205334501202151	Inf	1	0.5073038861201	0.999999999988786
"Dissection Angular gyrus AnG seurat / (Single-nucleus transcriptome data from the dlPFC seurat)"	0.987078081024759	0.0200453698487683	Inf	1	-0.640450594184158	0.999999998873612
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	0.962258822245413	0.0195317754745972	Inf	1	-1.89536516108804	0.957514219003073
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.981436235127585	0.0199379499403063	Inf	1	-0.922380787190333	0.999998933885123
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.993208312858322	0.0201818737694966	Inf	1	-0.335378732443753	1
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	0.805998977867773	0.016982217480923	Inf	1	-10.2361225959617	1.81743509131138e-13
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	0.803231981167969	0.0169496454101557	Inf	1	-10.3835526697013	1.93400850889702e-13
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.06227969515131	0.0223267171869351	Inf	1	2.87458394518944	0.343560687755821
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	0.827418543487759	0.0174212039866169	Inf	1	-8.99765517078751	1.44440015503733e-13
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.808658600627024	0.0170393402240291	Inf	1	-10.0791263098474	2.38919994899334e-13
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	0.869536555053119	0.0182420346467544	Inf	1	-6.66355382609999	6.16370199324479e-09
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	1.02660020386455	0.0215421454600157	Inf	1	1.25107749750457	0.999818095351
"Dissection Angular gyrus AnG seurat / (Single-nucleus transcriptome data from the dlPFC scvi)"	0.908228650410322	0.0189989956982934	Inf	1	-4.60157405128647	0.000879860644763863
"Dissection Angular gyrus AnG seurat / whole cortex scvi"	0.888598222538584	0.018526800700132	Inf	1	-5.66489685129179	3.34908620458485e-06
