"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.01071647728336	0.0297161859742846	Inf	1	0.36255307827507	1
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	1.07674701831416	0.031767074476114	Inf	1	2.5063527298638	0.627417672800892
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	0.998146861759097	0.029316766536372	Inf	1	-0.0631522619079572	1
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	0.99813190616329	0.0293159376466	Inf	1	-0.0636632498118812	1
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	1.04079208641848	0.0306383393684691	Inf	1	1.35820010837227	0.999366583206627
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.01372123918546	0.0298018809430985	Inf	1	0.46355959172148	0.999999999998248
"Dissection Angular gyrus AnG seurat / (Single-nucleus transcriptome data from the dlPFC seurat)"	1.02938697285768	0.0302918193952289	Inf	1	0.98424597393401	0.999996629890534
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	1.82056512282462	0.055716229007454	Inf	1	19.5775284533944	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.0049462955823	0.0295220324425833	Inf	1	0.167959587215205	1
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.0230663350114	0.0300788293999225	Inf	1	0.775639917557178	0.9999999558731
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	0.84775035253991	0.0261381359566751	Inf	1	-5.35700586416844	1.90393590052684e-05
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	0.860084379325314	0.0264433111543832	Inf	1	-4.90241283642321	0.000206221457641043
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.01136714825653	0.0309953646286	Inf	1	0.368813563244326	1
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	0.872201420885714	0.026881382611343	Inf	1	-4.43654148989194	0.00186465670701286
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.881115772002697	0.027251174310124	Inf	1	-4.0922831249859	0.00801670691561696
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	0.92606140163778	0.0287300129512933	Inf	1	-2.47598788501318	0.651157366814114
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	0.944189165665531	0.0289478429468555	Inf	1	-1.87314818065537	0.962363931171012
"Dissection Angular gyrus AnG seurat / (Single-nucleus transcriptome data from the dlPFC scvi)"	1.0307411864356	0.0320105318475427	Inf	1	0.974958119742487	0.99999714666057
"Dissection Angular gyrus AnG seurat / whole cortex scvi"	0.886622980448985	0.0272094922029481	Inf	1	-3.92113763976537	0.0156250675855344
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.882342169153117	0.0271099463834287	Inf	1	-4.07405789179913	0.00862338805825946
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.837204070265193	0.0257029502845114	Inf	1	-5.78768721839645	1.62971850725668e-06
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	1.0653304289728	0.0314598344332259	Inf	1	2.14303257620283	0.869320140053573
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 seurat"	0.987563658249592	0.0290333507083235	Inf	1	-0.425672117397249	1
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.987548861225756	0.0290322381517977	Inf	1	-0.426191723309137	1
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 seurat"	1.02975672190084	0.0303418197429699	Inf	1	0.995165292941218	0.999995912618494
"Dissection Anterior cingulate cortex ACC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.00297290285618	0.0295133512576512	Inf	1	0.100880362017144	1
"Dissection Anterior cingulate cortex ACC seurat / (Single-nucleus transcriptome data from the dlPFC seurat)"	1.01847253507185	0.0299987380837605	Inf	1	0.621429851985653	0.999999999374651
"Dissection Anterior cingulate cortex ACC seurat / whole cortex seurat"	1.8012619401615	0.0551682150030957	Inf	1	19.2143271407364	0
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.994290998681871	0.0292360632522168	Inf	1	-0.194714104296734	1
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.01221891401359	0.0297876519957276	Inf	1	0.412696601201342	1
"Dissection Anterior cingulate cortex ACC seurat / Dissection Angular gyrus AnG scvi"	0.838761780968015	0.0258838023620657	Inf	1	-5.69770474324897	2.76694935441579e-06
"Dissection Anterior cingulate cortex ACC seurat / Dissection Anterior cingulate cortex ACC scvi"	0.850965031892108	0.0261863036658548	Inf	1	-5.24443420022237	3.50634215946499e-05
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.0006437720051	0.0306933014971437	Inf	1	0.0209810984949711	1
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 scvi"	0.862953598253437	0.0266197410361488	Inf	1	-4.77820166703797	0.000380117865849239
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 scvi"	0.871773431824314	0.0269855444163465	Inf	1	-4.43310427290879	0.00189339524186449
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 scvi"	0.916242509597628	0.0284505366261859	Inf	1	-2.81708504803223	0.384442464292893
