"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.731170179470334	0.0119965279112967	0.707001880206209	0.754038471659868
0.05	"seurat"	0.719282630202557	0.0109684212571073	0.69727735336781	0.740284118398982
0.1	"seurat"	0.707080008174423	0.010157986005174	0.686768571652517	0.726598684915498
0.15	"seurat"	0.694572185483094	0.00969466747908455	0.675234066752655	0.713247821716216
0.2	"seurat"	0.681770646054905	0.00970271142798133	0.662445327481076	0.700489803382552
0.25	"seurat"	0.668688487798044	0.0102490123296093	0.648289221161649	0.688473146469293
0.5	"seurat"	0.599636515243737	0.019008538267142	0.56184692288858	0.636276798043901
0.75	"seurat"	0.526386059552417	0.0316450023460232	0.464234187816938	0.587730867794099
0	"scvi"	0.748825437246302	0.0112963368968552	0.7260284936716	0.770325542773281
0.05	"scvi"	0.723071661029579	0.0105709067703501	0.701868521534626	0.743318313560423
0.1	"scvi"	0.695750155035569	0.00995191592149262	0.675887359462062	0.714909131412773
0.15	"scvi"	0.666974608031909	0.00962357091819135	0.647840248431782	0.685573905456981
0.2	"scvi"	0.636897847951266	0.00977754679200996	0.617512524889214	0.655848241098575
0.25	"scvi"	0.605710540878307	0.0105232961335494	0.584894346175082	0.626150083385004
0.5	"scvi"	0.441833569171123	0.0196743938715546	0.403671975824463	0.480694717932363
0.75	"scvi"	0.28971579989447	0.0267322970522437	0.240206708786476	0.344798442596342
