"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	-2.17659651302307	0.152634000766878	-14.2602336444515	3.87156121250236e-46	4.83945151562796e-45	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	15484.3608244414	-30914.7216488828	-30770.361959477
"fixed"	"cond"	NA	"cutoff"	-0.130077867190216	0.199119752094077	-0.653264509533734	0.513585768325444	0.999999001424796	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	15484.3608244414	-30914.7216488828	-30770.361959477
"fixed"	"cond"	NA	"methodscvi"	0.064596241638242	0.194851968644616	0.331514441899517	0.740255934104515	0.999999001424796	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	15484.3608244414	-30914.7216488828	-30770.361959477
"fixed"	"cond"	NA	"referenceDissection Anterior cingulate cortex ACC"	7.80141838363381e-06	0.189536419069367	4.11605243041899e-05	0.999967158653152	0.999999001424796	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	15484.3608244414	-30914.7216488828	-30770.361959477
"fixed"	"cond"	NA	"referenceDissection Dorsolateral prefrontal cortex DFC"	6.78473955995791e-06	0.189536447769216	3.57964900145177e-05	0.999971438533293	0.999999001424796	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	15484.3608244414	-30914.7216488828	-30770.361959477
"fixed"	"cond"	NA	"referenceDissection Primary auditory cortexA1"	2.56774924437413e-06	0.189536566810987	1.35475137466998e-05	0.999989190647945	0.999999001424796	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	15484.3608244414	-30914.7216488828	-30770.361959477
"fixed"	"cond"	NA	"referenceDissection Primary somatosensory cortex S1"	-2.37210499133601e-07	0.189536645992736	-1.25152842022272e-06	0.999999001424796	0.999999001424796	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	15484.3608244414	-30914.7216488828	-30770.361959477
"fixed"	"cond"	NA	"referenceDissection Primary visual cortexV1"	7.92654493828001e-06	0.189536415537207	4.18206966498423e-05	0.999966631911831	0.999999001424796	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	15484.3608244414	-30914.7216488828	-30770.361959477
"fixed"	"cond"	NA	"referenceHuman Multiple Cortical Areas SMART-seq"	3.95587208633843e-06	0.189536527625491	2.08712913331139e-05	0.999983347118882	0.999999001424796	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	15484.3608244414	-30914.7216488828	-30770.361959477
"fixed"	"cond"	NA	"referenceSingle-nucleus transcriptome data from the dlPFC"	4.03573558994895	0.210645362436882	19.1589102331091	8.15630874882522e-82	2.03907718720631e-80	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	15484.3608244414	-30914.7216488828	-30770.361959477
