"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.730911488747323	0.0230271137501454	0.683467525074564	0.773599845062369
0.05	"seurat"	0.725320148031425	0.0232147924192519	0.677564174166722	0.768420458418316
0.1	"seurat"	0.719657187538167	0.023421201018751	0.671549679721796	0.763203063702953
0.15	"seurat"	0.713923524339633	0.0236472813436399	0.665423323752752	0.757950534097537
0.2	"seurat"	0.708120155641779	0.023893883504808	0.659184677348915	0.752665670564565
0.25	"seurat"	0.702248159311907	0.0241617543726319	0.652833624077102	0.747351180026475
0.5	"seurat"	0.671902165464793	0.025837899925795	0.619412331785362	0.720420258695988
0.75	"seurat"	0.640048660476023	0.0280854041258541	0.583368203108609	0.693075042402698
0	"scvi"	0.758097880864675	0.0215077835110926	0.71348762168661	0.797731380605905
0.05	"scvi"	0.727895419635196	0.0230889253524701	0.680368083189284	0.770737096916673
0.1	"scvi"	0.695437003508874	0.0245751477416601	0.645250126939582	0.741369717045443
0.15	"scvi"	0.660910434669257	0.0259174238033745	0.608416862846865	0.709724352681567
0.2	"scvi"	0.624582720908816	0.0270667483926091	0.570225863758577	0.675971300320857
0.25	"scvi"	0.586796337388733	0.0279776297190278	0.531098346292245	0.640358447509195
0.5	"scvi"	0.391549188922774	0.0280303665940138	0.338175391390745	0.447649082404102
0.75	"scvi"	0.225770901196028	0.0216506339720029	0.186162805068985	0.270999914062194
