"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.0187310424762522	0.0113787017920199	Inf	0.0056410527108219	0.0603525656920303
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.0187308898382699	0.0113786115571395	Inf	0.00564100569874833	0.0603520990940446
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.872864736271796	0.0681041502388748	Inf	0.673418339190909	0.958088155227697
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.514107259074496	0.152937765347004	Inf	0.241674437610481	0.778407370920197
"whole cortex"	"seurat"	0.446679174945814	0.151055660595316	Inf	0.19592276727379	0.727857612468448
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0368779386690825	0.021922636347512	Inf	0.0112919495344778	0.113767317317945
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0368781731949152	0.0219227693499639	Inf	0.0112920239167953	0.113767977072972
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.803301337870298	0.0969624934104355	Inf	0.550902143840547	0.931489479611161
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.622986397381129	0.144282409592726	Inf	0.331423250168516	0.846348189150102
"whole cortex"	"scvi"	0.779041813320877	0.105696776846455	Inf	0.51414896671125	0.921548260351658
