"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	2.91901121806562	0.335414233809508	Inf	1	9.32272893430708	1.01918473660589e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.27437333930889	0.151476721448239	Inf	1	2.03976969721502	0.570590090467036
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.57248019060412	0.0733536826857543	Inf	1	-4.35310614277917	0.00056665120412358
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	9.90408458353089	1.20259232522706	Inf	1	18.8838254619237	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.220393669144194	0.0364008732953119	Inf	1	-9.15665244325553	1.19015908239817e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.419158365302318	0.059590558436355	Inf	1	-6.11608483428574	4.30525315398e-08
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.786500311366249	0.107446801552071	Inf	1	-1.75796404693514	0.761709450399344
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.17564660190308	0.156264865303458	Inf	1	1.21742740525808	0.969811950388713
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	1.14325565185405	0.15553335149937	Inf	1	0.984091812529987	0.993186993586345
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.436577061239729	0.0473023129303192	Inf	1	-7.64932715181979	9.69890834312537e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.196121271155475	0.0235967835594608	Inf	1	-13.5393826197713	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	3.39295872596686	0.371040118764562	Inf	1	11.1717987943252	2.88657986402541e-14
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.075502851027152	0.0119932197770497	Inf	1	-16.2648585233509	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.14359601042578	0.0192364969723039	Inf	1	-14.4872613465515	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.269440660761643	0.0342330745865218	Inf	1	-10.3217837903336	1.00142116821189e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.402755081798612	0.0493138899038801	Inf	1	-7.42744490846233	5.04596364692134e-12
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.391658533128785	0.0492848493038998	Inf	1	-7.44908364269858	4.29323243622548e-12
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.449224864445599	0.0555068261264188	Inf	1	-6.47639226119012	4.22284873735634e-09
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	7.77172927118989	0.893560041212652	Inf	1	17.8341391501079	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.172942780852365	0.027825302884458	Inf	1	-10.9065852559972	9.29256671611256e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.32891331949053	0.0450129251102583	Inf	1	-8.12519498497555	1.42330591756945e-13
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.617166325680338	0.0806345541326303	Inf	1	-3.69388521924075	0.00839623123811761
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.922529187985567	0.116753278093371	Inf	1	-0.637149619101135	0.999779000138068
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.897112028782753	0.116467354767755	Inf	1	-0.836316054911515	0.998018902191996
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	17.3003096807235	2.20363734697846	Inf	1	22.3804588518093	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.384980428600716	0.0647172954222747	Inf	1	-5.67835825148331	6.08325921191977e-07
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.732179684435881	0.106952392921918	Inf	1	-2.13405116315483	0.503115734594821
