"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.0311848644302404	0.0144465982507995	Inf	0.0124521250358294	0.0759319464519064
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.8644478920834	0.0559966052818101	Inf	0.714249271052027	0.942098014137437
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.868073891531958	0.0547255073153286	Inf	0.720600626733832	0.94378033581123
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.796183406305988	0.0775390168960473	Inf	0.604940067914425	0.908804641157846
"whole cortex"	"seurat"	0.852626386494348	0.0600480083735896	Inf	0.693964609356613	0.936551787026897
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0568259323267637	0.025611774857652	Inf	0.0230707712646126	0.133233262736401
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.857835657377112	0.0583184869034191	Inf	0.702696156530791	0.939042720253479
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.838285879210563	0.0648196702508262	Inf	0.67004017923124	0.929739286407014
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.45528238935312	0.11852200421099	Inf	0.246747056586146	0.680775512775369
"whole cortex"	"scvi"	0.836776354308831	0.0652960788272895	Inf	0.667617450087144	0.929000884120045
