"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.847009519396712	0.0445682669106576	Inf	1	-3.1556150590008	0.0512288051090335
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.947301061462516	0.0505048273523765	Inf	1	-1.01545329394366	0.991429477431549
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.56782968512725	0.0822868444153231	Inf	1	8.5680880969922	9.09272657168003e-14
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	3.41068729250116	0.189181571540973	Inf	1	22.1195931038617	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	1.11834368664189	0.0686853040326167	Inf	1	1.82113675489714	0.721901162633741
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.11750937622285	0.0661635115307641	Inf	1	1.87653304849903	0.685154926604998
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.15339049757213	0.0678003320527266	Inf	1	2.42765163494095	0.309090644663021
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.940477799621026	0.0550984882776162	Inf	1	-1.04747923783365	0.989277372065999
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	1.28299598219425	0.0748686888747784	Inf	1	4.27040968169641	0.000816518126034338
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.11840662916898	0.0579621016401062	Inf	1	2.15926118091486	0.485239590312377
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.85101778577878	0.0943012900779234	Inf	1	12.086129725978	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	4.02674021294406	0.217390638758821	Inf	1	25.8018315656768	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	1.32034370456478	0.0794454565767485	Inf	1	4.61842729242354	0.000166907001807992
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.31935869743094	0.0763760679792544	Inf	1	4.78755596194078	7.36304753049533e-05
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.36172082032046	0.0782285939925312	Inf	1	5.37438044921621	3.42083339366361e-06
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.11035092060227	0.0635706245262308	Inf	1	1.82831639649301	0.717227210239636
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	1.51473620167584	0.0863488863232386	Inf	1	7.2841822929746	1.46271883494364e-11
