"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.380706380943995	0.125070009766919	0.178509438834449	0.634918681073769
0.05	"seurat"	0.351634380781132	0.120911375502259	0.16090281550355	0.605348288262121
0.1	"seurat"	0.323622298610423	0.116065406183706	0.144717981752439	0.575003512940725
0.15	"seurat"	0.296820148490907	0.110658281327388	0.129901024283646	0.544100495611849
0.2	"seurat"	0.27134722567358	0.104821176113798	0.116387302746329	0.512871984876742
0.25	"seurat"	0.247291584551903	0.0986842578978664	0.104104546487262	0.481560496583208
0.5	"seurat"	0.149355049225259	0.0674327758042174	0.0584056167386234	0.331995294512321
0.75	"seurat"	0.0857845635309508	0.0417438181533289	0.0319944214579745	0.210356469039538
0	"scvi"	0.425820868257461	0.129730200297999	0.207659615903328	0.677268147061187
0.05	"scvi"	0.363079034048576	0.122664170385262	0.167720679069215	0.617232508003437
0.1	"scvi"	0.304676336714914	0.112347032917387	0.134151203108026	0.553417346139176
0.15	"scvi"	0.251951766080839	0.0999374800487007	0.106432137910948	0.487816190675196
0.2	"scvi"	0.205652663269129	0.0866188395815613	0.083878164863086	0.42265584332802
0.25	"scvi"	0.165973844647625	0.0734029959953634	0.0657459238998313	0.360102719135457
0.5	"scvi"	0.0506929025274553	0.0255618193114891	0.0185012293441963	0.131398553010063
0.75	"scvi"	0.0141267404002649	0.0074276198802177	0.00501169481053692	0.0391672354172657
