"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	-2.14017474573191	0.173493552505668	-12.3357595416233	5.81380874558283e-35	1.16276174911657e-34	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"cutoff"	-0.0494636924935013	0.0709078839555463	-0.697576767690758	0.485441914829826	0.522783600585967	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"methodscvi"	0.569327713516753	0.0528786652687724	10.7666808650136	4.94508185524833e-27	8.65389324668459e-27	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	3.65420349821382	0.0552817637307848	66.1014275161213	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	3.72947528742438	0.0551876108316841	67.5781254383135	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	3.55136316745891	0.0546217457672971	65.0173867124028	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"referencewhole cortex"	3.25848164134878	0.0548289605393459	59.4299364659751	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"subsample_ref100"	-0.0122620749212692	0.0284068485310479	-0.431659108819027	0.66598919126253	0.66598919126253	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"subsample_ref50"	-0.0241117696375477	0.0289565773978057	-0.832687140690007	0.405021198776538	0.472524731905961	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"cutoff:methodscvi"	-2.97726365982021	0.106871383652633	-27.8583804014113	8.52635567829433e-171	2.38737958992241e-170	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.716844353607969	0.0708915691049583	-10.1118421084268	4.89550068681652e-24	7.61522329060347e-24	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.563962208780481	0.069968813570031	-8.06019396364379	7.61734853413018e-16	1.06642879477823e-15	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-1.15954719139964	0.0714876425339934	-16.2202466090312	3.62735387276279e-59	8.46382570311317e-59	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	-0.260488033515276	0.0714293913768505	-3.64679060669832	0.00026553613537608	0.000337955081387738	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.555908910719444	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	48256.541771513	-96481.083543026	-96364.2806458104
