"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	-2.98580638884813	0.43771375934934	-6.821367446357	9.01779545029347e-12	2.52498272608217e-11	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"cutoff"	-0.945891929115316	0.17057698418419	-5.54524945812111	2.93535371712492e-08	5.87070743424983e-08	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"methodscvi"	0.250711880139753	0.133325869275733	1.88044436913629	0.0600475414192091	0.0934072866521031	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-5.66193682312218e-06	0.124696446212321	-4.54057593067375e-05	0.99996377144569	0.99996377144569	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	3.81283429129315	0.150627004275906	25.3130858548386	2.2925687188249e-141	3.20959620635486e-140	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	1.05477294113618	0.128990339478627	8.17714679564008	2.90643846626787e-16	1.01725346319375e-15	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"referencewhole cortex"	1.73136086936886	0.133226823884295	12.9955876668839	1.29608334153108e-38	9.07258339071759e-38	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"subsample_ref100"	-0.0961154004738745	0.0690650864765146	-1.39166408640577	0.164024142417682	0.229633799384755	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"subsample_ref50"	-0.00342682898723988	0.0701869206851405	-0.0488243244437618	0.961059297185341	0.99996377144569	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"cutoff:methodscvi"	-1.3312290033227	0.243167462601634	-5.47453589834744	4.38659713866971e-08	7.676544992672e-08	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	3.58090544464336e-05	0.176970502649434	0.000202344763168632	0.99983855223861	0.99996377144569	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-1.75187205058058	0.183811513983971	-9.53080692612842	1.56065370288263e-21	7.28305061345227e-21	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	1.03225018479842	0.184997682835241	5.57980061684198	2.4079444336788e-08	5.61853701191721e-08	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	0.236441796743838	0.178564963339618	1.32412200199735	0.185462529510079	0.236043219376464	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.59642255860759	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7921.34243570676	-15810.6848714135	-15726.3264971324
