"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.259491015510116	0.079426750903224	0.134767414648751	0.440832655127408
0.05	"seurat"	0.252427368012157	0.0778607408547959	0.130666898630671	0.431351109662809
0.1	"seurat"	0.245492256654205	0.0763199408121977	0.126632811554815	0.422007977387817
0.15	"seurat"	0.238686844517015	0.0748050691104692	0.122666538751498	0.412808504898783
0.2	"seurat"	0.232012076556523	0.0733166833544207	0.118769414391645	0.403757319370188
0.25	"seurat"	0.225468685577949	0.0718551893162401	0.114942713450854	0.394858437622713
0.5	"seurat"	0.194734031912053	0.0649559181547136	0.0969050588479574	0.35274843200049
0.75	"seurat"	0.167284087796404	0.0587203753367464	0.0807721843770146	0.314730221051947
0	"scvi"	0.158694091754914	0.0551998285521846	0.0773426415809172	0.297978774815021
0.05	"scvi"	0.141704113973888	0.0502127130334754	0.068429376512303	0.270646370097945
0.1	"scvi"	0.126260119421191	0.0455038274255748	0.0604511044063652	0.245027297346753
0.15	"scvi"	0.112279138480714	0.0410975504214051	0.0533275854017539	0.221173786903969
0.2	"scvi"	0.0996696937368218	0.037006866022227	0.0469818169685234	0.199100338080394
0.25	"scvi"	0.0883354324088619	0.0332353276049437	0.0413407630327964	0.178788818215297
0.5	"scvi"	0.0474130126929903	0.0188568940138808	0.0214722770785843	0.101443922205444
0.75	"scvi"	0.0249299701972691	0.0103969248175622	0.0109279557822379	0.0558595587873503
