"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	0.809979056400972	0.411042600096615	1.97054771503145	0.0487756321239124	0.0569049041445645	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"cutoff"	-1.37919596763432	0.0748940369562953	-18.4152974480352	9.90437531333804e-76	4.62204181289109e-75	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"methodscvi"	0.0707206924017551	0.0622093439053412	1.13681784700004	0.255614440963842	0.275277090268753	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.209927626504465	0.0525139906221352	3.99755615632033	6.39998108918858e-05	0.000127999621783772	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.0506909899456791	0.0529515640167212	0.957308643983996	0.338411493675413	0.338411493675413	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.276349715607648	0.0528760818638887	-5.22636522726883	1.72874722087499e-07	4.84049221844996e-07	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"referencewhole cortex"	-1.05827201330323	0.0562260615888004	-18.8217346795996	5.01166082391884e-79	3.50816257674319e-78	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"subsample_ref100"	-0.0934076511007328	0.0293930305994096	-3.17788432141492	0.00148353928038504	0.00230772776948784	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"subsample_ref50"	0.0592928356216715	0.0296770091675755	1.99793838007281	0.045723341027615	0.0569049041445645	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"cutoff:methodscvi"	-2.67403624044444	0.106591808886928	-25.0866953883956	6.94813639956799e-139	9.72739095939519e-138	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.303059905249586	0.0772155892124284	-3.92485388430871	8.67823969472789e-05	0.000151869194657738	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.183953300679781	0.0774324546824482	-2.37566149018751	0.0175175251269623	0.0245245351777472	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	0.344898066432634	0.0770504978501464	4.47626006393129	7.5961947510957e-06	1.77244544192233e-05	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	0.902074564283435	0.0794143553911646	11.3590869036229	6.68395767901681e-30	2.33938518765588e-29	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	1.15517870493555	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	43703.804985171	-87375.609970342	-87260.117033676
