"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	3.43750158958726	0.41061613160957	Inf	1	10.3367532766463	9.51461132103759e-14
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.63025630261219	0.201138448256918	Inf	1	3.96128625906728	0.00298885123401615
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.959874251349537	0.125789392469108	Inf	1	-0.312504266627163	0.999999523044671
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	12.5656892311566	1.60080390190352	Inf	1	19.8671322086307	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.0503007454234085	0.00865851072773021	Inf	1	-17.3685663833164	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.231850958389505	0.0345233153295979	Inf	1	-9.81618921956185	1.01141317543352e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.604164470815263	0.0866062517475672	Inf	1	-3.51526358290206	0.0159473307648852
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.828935539608998	0.11355883335488	Inf	1	-1.36950145023447	0.936550266896718
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.974450823785064	0.139594616516966	Inf	1	-0.180665852294481	0.999999996352797
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.474256159633639	0.0527569385344861	Inf	1	-6.70620297907943	8.98376928404332e-10
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.279236016721315	0.0340142425940508	Inf	1	-10.4726954837452	9.15933995315754e-14
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	3.65547154049907	0.412293255758579	Inf	1	11.4925817659763	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.0146329373565317	0.00246431024354781	Inf	1	-25.084729437201	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.0674475203420467	0.00955857938006502	Inf	1	-19.0264530822363	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.175756855690008	0.0235119314177008	Inf	1	-12.9968189000813	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.241144772738426	0.030320406823138	Inf	1	-11.3123202016082	1.33226762955019e-14
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.283476472196211	0.0375738261335538	Inf	1	-9.51081884550669	8.42659275690494e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.588787327373932	0.0738644857594468	Inf	1	-4.22225775161794	0.00100653340101886
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	7.70779981713449	0.918063080166332	Inf	1	17.1460129307552	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.0308545014319594	0.00521335662799927	Inf	1	-20.586839971029	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.14221748937146	0.0204342751388425	Inf	1	-13.574285035896	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.370594776936118	0.0507220365317347	Inf	1	-7.25265525358496	1.84527948476898e-11
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.508469458624869	0.0658969358551964	Inf	1	-5.21880689068094	7.98682190139566e-06
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.597728603915646	0.0813992368778333	Inf	1	-3.77893196568393	0.00610154850349076
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	13.0909743786645	1.7069246448445	Inf	1	19.7249353579734	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.0524034740516147	0.00909449001958043	Inf	1	-16.9912156906219	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.24154305427355	0.0363446532102753	Inf	1	-9.44188508917509	8.99280649946377e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.629420437068539	0.0915807686539964	Inf	1	-3.18182366746812	0.0473283868597122
