"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.100267697281169	0.00737016898153946	Inf	1	-31.2892215056446	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.00072606023158	0.0652673481973297	Inf	1	0.0111284397114326	1
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.00052966380551	0.0652551362989276	Inf	1	0.00811896323680102	1
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	0.474250135022761	0.0323132523771029	Inf	1	-10.9490763852789	9.53681578153009e-14
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.846873568052105	0.0608100820800508	Inf	1	-2.31464349363802	0.379230275027887
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.106024657692851	0.00854207972464955	Inf	1	-27.8536612118279	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.846163225360181	0.0605216652434887	Inf	1	-2.33545529953949	0.365792788895536
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.844220312237607	0.0604696813552683	Inf	1	-2.3641893159881	0.347608648318748
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.129206885895378	0.0102851679471568	Inf	1	-25.7070444522319	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	9.98054296016552	0.734887037485466	Inf	1	31.2450896125542	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	9.97858423934721	0.734732568429464	Inf	1	31.2428596370095	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	4.72983969795255	0.356949323133944	Inf	1	20.5901968004647	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	8.4461256318405	0.667476688576777	Inf	1	26.9995412748761	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.05741590330471	0.0866855846280866	Inf	1	0.681007413511655	0.999617510760662
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	8.43904116983344	0.664704917562865	Inf	1	27.0787326309581	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	8.41966391100276	0.663931368455775	Inf	1	27.0188809406816	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	1.28861926022953	0.105223391372004	Inf	1	3.10536338192141	0.0594706613768612
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.999803746066108	0.065346482895658	Inf	1	-0.00300298755393452	1
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	0.473906050685854	0.0323492295429366	Inf	1	-10.9395969885063	9.41469124882133e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.84625913295006	0.0609256409843259	Inf	1	-2.31865843697577	0.376621177014439
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.105947733257107	0.0085544781247749	Inf	1	-27.8021011784804	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.845549305635521	0.0606389077006622	Inf	1	-2.33936914725707	0.363290279991137
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.843607802161409	0.0605861615450603	Inf	1	-2.36803810007279	0.3452068184725
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.129113141977614	0.0103005472345818	Inf	1	-25.6591365035215	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	0.473999074868958	0.0323553392036369	Inf	1	-10.9368028566284	9.62563362350011e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.846425247234576	0.0609445566443537	Inf	1	-2.31566784765608	0.378563853292011
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.105968529997988	0.00855681379744813	Inf	1	-27.7975374855469	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.845715280586289	0.0606577987481691	Inf	1	-2.33636312067586	0.365211624499426
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.84377339600969	0.0606051519164858	Inf	1	-2.36502815996708	0.347084472306495
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.129138485913492	0.0103033741747854	Inf	1	-25.6546716988202	0
"whole cortex seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	1.78571075791356	0.134922527302661	Inf	1	7.67391937812282	8.11350986396064e-13
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.223562735913111	0.0186298515860385	Inf	1	-17.977121691932	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.78421293505709	0.134334244626271	Inf	1	7.68991512733328	7.22533144426052e-13
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.78011612415691	0.134197094459508	Inf	1	7.64960582254887	9.67781410565749e-13
"whole cortex seurat / whole cortex scvi"	0.272444594853256	0.0224716841679043	Inf	1	-15.7649580196886	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.125195379443378	0.00909706607216715	Inf	1	-28.596136240062	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.999161217543301	0.0650944934801741	Inf	1	-0.0128802074564555	1
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.996866998906814	0.0649762525775749	Inf	1	-0.0481420209337498	1
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / whole cortex scvi"	0.152569274528862	0.0108637222136668	Inf	1	-26.4044919667991	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	7.98081544211613	0.57811711025355	Inf	1	28.6732174784201	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	7.96249033581678	0.576841462092235	Inf	1	28.6389115115082	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	1.21864940389325	0.0886871069122615	Inf	1	2.71718900997784	0.166562126369828
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.997703855397702	0.0647808643701628	Inf	1	-0.0354040728632904	1
