"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	-1.97873083272665	0.110065050195128	-17.9778306484999	2.90643748840217e-72	2.03450624188152e-71	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"cutoff"	-0.267090799353123	0.0893629995572294	-2.98882983647022	0.00280048050073197	0.00653445450170792	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"methodscvi"	0.166203865776484	0.0718053843856766	2.31464349363802	0.0206324505335806	0.0412649010671611	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	2.29991169689233	0.0735049191453172	31.2892215056446	6.54054117091692e-215	9.15675763928369e-214	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.000725796777362815	0.065219994552981	-0.0111284397114326	0.991120973035129	0.993522075751873	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.000529523583147276	0.0652205913123356	-0.00811896323680102	0.993522075751873	0.993522075751873	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"referencewhole cortex"	0.74602038545907	0.0681354626826877	10.9490763852789	6.71285923473072e-28	2.34950073215575e-27	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"subsample_ref100"	0.0773694616393576	0.0379085088577002	2.04095238696369	0.0412555599263759	0.0641753154410292	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"subsample_ref50"	0.0228653663635583	0.0383682393062825	0.595945156123292	0.551211865509269	0.771696611712976	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"cutoff:methodscvi"	-0.843407883980026	0.137569055725179	-6.13079649005442	8.74401983619961e-10	2.44832555413589e-09	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.222031970490838	0.0991111294938864	-2.24023247060799	0.0250758346854575	0.0438827106995506	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.00156493120890033	0.092185817666203	0.0169758347706674	0.986455894053943	0.993522075751873	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	0.00366744279926794	0.0922083302172953	0.0397734433605441	0.968273748600979	0.993522075751873	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	1.13411614141443	0.0981147436636439	11.5590796965479	6.64167607739001e-31	3.09944883611534e-30	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.226610092980523	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	42509.365650484	-84986.7313009679	-84879.7538333219
