"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.94699535882786	0.224468685005252	8.67379500522446	4.17952435926428e-18	5.85133410297e-18	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"cutoff"	-0.0106830303341936	0.0677641098926642	-0.157650271672057	0.874732387791935	0.874732387791935	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"methodscvi"	-1.44059140150911	0.055870156451436	-25.7846315995431	1.31882571625777e-146	4.61589000690221e-146	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.380391450551994	0.0493316857550963	7.71089503084124	1.24938395644581e-14	1.59012503547649e-14	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.510180748753349	0.0508340783139742	-10.0361955143997	1.0567145412843e-23	1.64377817533114e-23	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-1.35648976270186	0.0495324255374795	-27.3858941487824	4.03817484161266e-165	2.82672238912886e-164	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"referencewhole cortex"	0.368089996091408	0.0497091573776698	7.40487297531138	1.31276064991998e-13	1.53155409157331e-13	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"subsample_ref100"	0.358600333648938	0.0269555520266696	13.3033941688206	2.21194515370693e-40	4.42389030741386e-40	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"subsample_ref50"	0.305377265198149	0.0273809941072324	11.1528918198586	6.93163448237061e-29	1.21303603441486e-28	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"cutoff:methodscvi"	-3.72049530896856	0.101539819636608	-36.6407516015245	6.42362435919986e-294	8.9930741028798e-293	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	1.84026948438201	0.070549295862084	26.0848738728667	5.41314467944935e-150	2.52613418374303e-149	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	1.75649370972151	0.0709946934083892	24.74119719931	3.85619130364385e-135	1.07973356502028e-134	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	0.286908974358569	0.0681712780822346	4.2086488977436	2.56902214664602e-05	2.76663923484956e-05	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	1.67986593827797	0.0704608546504707	23.8411235090909	1.25181758147349e-125	2.92090769010481e-125	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.659445099878773	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	30190.5340583828	-60349.0681167656	-60232.9830969637
