"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	0.841663356300056	0.148193390227536	5.67949322846158	1.35094398008073e-08	1.89132157211303e-08	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"cutoff"	-0.339762377575765	0.180483629086652	-1.88251078114482	0.0597666974572794	0.064364135723224	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"methodscvi"	-1.14544534131478	0.170181358957309	-6.73073330905837	1.68810129371812e-11	2.62593534578374e-11	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-2.24462495838069	0.155240266223634	-14.4590383215858	2.19848036995838e-47	7.69468129485432e-47	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-2.58255511846958	0.154460266243128	-16.7198670653883	9.3928505388758e-63	4.38333025147537e-62	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-2.7744156258578	0.154173120372564	-17.9954561414684	2.11473749467145e-72	2.96063249254003e-71	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"referencewhole cortex"	-2.74354143620773	0.15423871536202	-17.7876315279743	8.81269449931014e-71	6.1688861495171e-70	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"subsample_ref100"	-0.02793552628724	0.0761844507083041	-0.366682781427406	0.713855651705407	0.713855651705407	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"subsample_ref50"	-0.172506757573273	0.0761931622677284	-2.2640713738474	0.0235697252952608	0.027498012844471	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"cutoff:methodscvi"	-1.4590410527407	0.260648756541419	-5.59772880600274	2.17178124291006e-08	2.76408521824917e-08	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	1.42870396510931	0.207387476521319	6.88905612370688	5.61637799005673e-12	9.82866148259928e-12	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	2.48515377468969	0.210645848893898	11.7977818586943	4.00735667523449e-32	1.12205986906566e-31	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	1.76681534583724	0.205031267059728	8.61729711362777	6.85530850943765e-18	1.59957198553545e-17	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	1.59705883189174	0.204643775051054	7.80409192262658	5.99314987356886e-15	1.19862997471377e-14	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.101827673051474	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	9108.8066108298	-18185.6132216596	-18101.2548473785
