"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.677918187060967	0.0785604930827972	Inf	0.50975543784075	0.809908437895952
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.72227467914706	0.0721144033308426	Inf	0.562461346928365	0.840290149311152
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.515258668789951	0.0901950620493307	Inf	0.343728648240175	0.683267546414508
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.703866058546238	0.0749522393528312	Inf	0.540161971670028	0.827863101109988
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.652829264587229	0.0814742732919064	Inf	0.481739664139153	0.791843195448291
"whole cortex"	"seurat"	0.640086826795303	0.08283919014329	Inf	0.467787475422241	0.782536721138325
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.706074126386633	0.0748328627566726	Inf	0.542314682770042	0.82964602884377
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.675617495436776	0.0788477446765262	Inf	0.507138933744726	0.808276458870033
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.597043301851567	0.0868316924030227	Inf	0.422081428016679	0.75036423101689
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.678285138046786	0.0785063065997668	Inf	0.510191611743128	0.810157233175579
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.744122875378034	0.0685725420341192	Inf	0.589438074232377	0.854876854002726
"whole cortex"	"scvi"	0.700369649639916	0.0755679652459192	Inf	0.535757171937771	0.825612278912198
