"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.928611660804353	0.0147440049662713	Inf	0.893750899412612	0.952640556835463
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.934842678286468	0.0135462463894847	Inf	0.902709128575413	0.95687013225572
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.933721298025804	0.0137605147002524	Inf	0.901099829741506	0.956106945897781
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.947490520642668	0.0110680737943092	Inf	0.921057452560851	0.965405194561577
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.920768076535154	0.0162247424776806	Inf	0.882564264643862	0.947285872978731
"whole cortex"	"seurat"	0.933088668146968	0.0138829155917031	Inf	0.900187789353833	0.955678468065018
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.764427217878646	0.0400352873851302	Inf	0.677294169743103	0.833806593893417
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.922194218645323	0.0159782830349864	Inf	0.884533569720011	0.948289530324403
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.9160300938533	0.0171198764960216	Inf	0.875812658546437	0.944055272534348
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.928916338377189	0.0146715485271501	Inf	0.894227693206497	0.952828751472866
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.731527691334932	0.0436437029749982	Inf	0.638032755436912	0.808135244434899
"whole cortex"	"scvi"	0.928952128549779	0.0146836661836518	Inf	0.894225773891845	0.95287837364874
