"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	-1.34727145997731	0.160845641956621	-8.37617633644472	5.46749749147532e-17	1.09349949829506e-16	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"cutoff"	-0.215445218117716	0.101578284804186	-2.12097712156721	0.0339237277730525	0.0387699745977743	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"methodscvi"	0.371724256531966	0.0848716797132762	4.37983857262835	1.18767257982072e-05	1.90027612771316e-05	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	2.61324688280899	0.084707698729256	30.8501697249679	5.57234980160925e-209	2.9719198941916e-208	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"referenceBrainAgingSpatialAtlas snRNAseq"	2.91091328696245	0.0838103510148335	34.7321452746004	2.57853812400983e-264	4.12566099841573e-263	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	2.79045264432889	0.0841667834425402	33.153846805063	4.98468697819791e-241	3.98774958255833e-240	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	2.15978115538576	0.0855749335250802	25.2384789145384	1.5155511134614e-140	4.84976356307648e-140	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"referencewhole cortex"	2.5308456113598	0.0847718797344609	29.8547775428292	7.61067686635219e-196	3.04427074654087e-195	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"subsample_ref100"	-0.0637192458141329	0.0411643089399787	-1.54792458454826	0.121640454801341	0.129749818454764	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"subsample_ref50"	-0.1403010925085	0.0413610599806995	-3.39210582547857	0.000693576467157067	0.00100883849768301	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"cutoff:methodscvi"	-1.66808251440161	0.146124342305527	-11.4155005804157	3.49883722565291e-30	9.3302326017411e-30	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.251295631983888	0.115935375720539	-2.16754920939432	0.0301930017328368	0.0371606175173376	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"methodscvi:referenceBrainAgingSpatialAtlas snRNAseq"	-0.997338711254377	0.113953544749833	-8.75215170746884	2.093227441555e-18	4.78451986641144e-18	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.625590951654276	0.113939724530704	-5.49054295357448	4.00700024098744e-08	7.12355598397768e-08	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.316982921300029	0.11609108054801	-2.73046748986835	0.0063244570584088	0.00843260941121173	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	-0.0905024274734801	0.114608650261112	-0.789664892373215	0.429723499618073	0.429723499618073	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.292520935499273	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	35796.1681768241	-71556.3363536482	-71436.9356046255
