"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	0.143326674020271	0.117432353890757	1.22050413937544	0.222273821324862	0.296365095099816	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"cutoff"	-1.47831022268365	0.171990677632701	-8.59529273930007	8.30527984602238e-18	3.32211193840895e-17	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"methodscvi"	-3.08943107085659	0.168821280537988	-18.3000096967124	8.27341614115571e-75	6.61873291292457e-74	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.41023359957549	0.144012948574056	-2.84858829457641	0.0043913666357295	0.008782733271459	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"referenceBrainAgingSpatialAtlas snRNAseq"	-3.33961627960615	0.153566074176796	-21.7470967953595	7.35919272609096e-105	1.17747083617455e-103	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.667308953177403	0.144924831528216	-4.60451770853004	4.1342283926935e-06	1.10246090471827e-05	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.348297539924149	0.14452760575877	-2.40990320219854	0.0159567534732528	0.0255308055572045	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"referencewhole cortex"	0.199636186780178	0.143171429638414	1.39438564861976	0.16320117950618	0.23738353382717	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"subsample_ref100"	-0.0543965533856842	0.07214773566468	-0.753960645951556	0.45087285286098	0.480931043051712	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"subsample_ref50"	-0.193155902771136	0.0737732514161296	-2.61823762764108	0.00883852319873496	0.0157129301310844	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"cutoff:methodscvi"	1.21362793918602	0.24953162634065	4.86362372972005	1.15255921117199e-06	3.68818947575036e-06	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.0947518290614211	0.206945181653696	-0.457859556353332	0.647053344819105	0.647053344819105	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"methodscvi:referenceBrainAgingSpatialAtlas snRNAseq"	2.8346311577853	0.213591110716944	13.2712974255835	3.39648741209339e-40	1.81145995311647e-39	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.162329104170391	0.20733856352127	0.782918051584448	0.433675236297194	0.480931043051712	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.1566869594959	0.207456248131401	-0.755277129067986	0.450082718555588	0.480931043051712	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	-0.626916749337926	0.206444723763742	-3.03672933804488	0.00239160098727081	0.00546651654233328	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	3.16113081666452e-05	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	6511.94588079564	-12987.8917615913	-12897.0051744487
