"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.719360025963092	0.0490340778302704	0.614246165131246	0.804927724835235
0.05	"seurat"	0.705987961748485	0.0503724122038672	0.598757793625527	0.794401380570738
0.1	"seurat"	0.692251321250443	0.0516654630289236	0.583047798077736	0.783475081588372
0.15	"seurat"	0.678165457333893	0.0529054990559159	0.567145231312681	0.77215052590076
0.2	"seurat"	0.663748037943316	0.0540847881141354	0.551080791401554	0.760431238429555
0.25	"seurat"	0.649019017130792	0.0551956900080089	0.53488660397102	0.748322668175523
0.5	"seurat"	0.571548207982043	0.0594759079003557	0.453161498795848	0.682274908967066
0.75	"seurat"	0.490403987071502	0.06112511536593	0.373361361951863	0.608508186008169
0	"scvi"	0.719760638094544	0.0490135417458215	0.614665384061308	0.80527307888434
0.05	"scvi"	0.670807866589488	0.0536065374915483	0.558728283048751	0.766325862107606
0.1	"scvi"	0.617844157090181	0.0572731585678365	0.501234932278946	0.722295308974902
0.15	"scvi"	0.561924034535719	0.0596775373852488	0.443684356182067	0.673524862793972
0.2	"scvi"	0.504385116395447	0.0605806028473464	0.387582799834164	0.620710748057613
0.25	"scvi"	0.446729810983595	0.0598885057176836	0.334289880769668	0.564897037308871
0.5	"scvi"	0.202448702296067	0.0392168329422773	0.136207980706777	0.29008521591471
0.75	"scvi"	0.0739029192041781	0.0167493360303916	0.0470690815007511	0.114201263227325
