"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.847641608716793	0.0536181657908944	0.711451690264	0.926218330929533
0.05	"seurat"	0.832071582932527	0.0580040060542881	0.687125786688124	0.917892070140536
0.1	"seurat"	0.815257193680573	0.0625154836075089	0.661718939636996	0.908720739020148
0.15	"seurat"	0.797169610801681	0.0671079569491041	0.635338411572217	0.898640248193272
0.2	"seurat"	0.777793805263597	0.0717279257902276	0.608113372147574	0.887586570807706
0.25	"seurat"	0.757130992080424	0.0763133747617134	0.580193066010024	0.875497019414003
0.5	"seurat"	0.63594468243953	0.0961129280041985	0.436371851506406	0.797624246509031
0.75	"seurat"	0.49464957076493	0.103880885748819	0.30238794897986	0.688506714397664
0	"scvi"	0.813196702066284	0.0630730225644284	0.658604807072285	0.907606203783885
0.05	"scvi"	0.760813153958571	0.0755445742497177	0.585028416286367	0.877700790077569
0.1	"scvi"	0.699174227944369	0.0873029240607659	0.507446455796605	0.839828067029998
0.15	"scvi"	0.629388559359402	0.0968104570757269	0.4294968890004	0.792998184946896
0.2	"scvi"	0.553746679094904	0.102553237938799	0.354886996218018	0.736773799023022
0.25	"scvi"	0.475531180329394	0.103500761999318	0.286717968131543	0.671608879100211
0.5	"scvi"	0.158848095605008	0.0554728533118946	0.0772305792397756	0.29879053298093
0.75	"scvi"	0.0378443600124059	0.0151372353724069	0.0171150431132802	0.081596217179665
