"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.0728108808603428	0.00287728072178823	0.0673674926983678	0.0786570074657969
0.05	"seurat"	0.0716600929361665	0.00269635498287633	0.0665505400436958	0.0771295272763252
0.1	"seurat"	0.0705261099144021	0.00254986378052969	0.065687951775038	0.0756917471643643
0.15	"seurat"	0.0694087299123761	0.00244023738332804	0.0647746031517501	0.0743480366613937
0.2	"seurat"	0.0683077520916981	0.0023689051664792	0.0638073297039555	0.0731008104895505
0.25	"seurat"	0.0672229767014068	0.0023358266983065	0.0627858461172668	0.0719496100653187
0.5	"seurat"	0.0620352260722892	0.00263967896716652	0.0570573640292855	0.0674163228529924
0.75	"seurat"	0.0572232656173956	0.00333765985180736	0.0510205610631381	0.064129091033556
0	"scvi"	0.0581889390149361	0.00246777751094723	0.0535354325389724	0.0632199272584846
0.05	"scvi"	0.0574312742102648	0.0023204631382412	0.0530476682249319	0.0621533447723487
0.1	"scvi"	0.0566828810372544	0.00219831382351157	0.0525239860327411	0.0611498277289342
0.15	"scvi"	0.05594366142963	0.00210334142745504	0.0519602324419691	0.0602130763793505
0.2	"scvi"	0.0552135179571676	0.00203700393508786	0.0513533381929934	0.0593457113432817
0.25	"scvi"	0.054492353832763	0.00199986899056148	0.0507019774750064	0.0585486145171171
0.5	"scvi"	0.0510178817101104	0.0021976144912156	0.0468776523239064	0.055502482242742
0.75	"scvi"	0.0477537556300125	0.00276189197522271	0.0426215522925496	0.0534694302949332
