"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.969036827093807	0.0381012543321081	Inf	1	-0.799941861808877	0.999719625350919
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq seurat"	0.945799255230621	0.0371606195745397	Inf	1	-1.41829183096979	0.960260065387514
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	2.24398542544579	0.0916832727264608	Inf	1	19.7823332854337	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	3.10575936060258	0.126838146662456	Inf	1	27.7489658932481	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	1.44099909654501	0.0574912638783666	Inf	1	9.15704064908575	1.4255263636187e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	6.53404297026672	0.291439864012717	Inf	1	42.082670674744	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.701267975633164	0.0307506812759572	Inf	1	-8.09268550247025	1.89293025698589e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq scvi"	0.733788614176484	0.032472160074074	Inf	1	-6.99469121734834	1.75463199525439e-10
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.08621381356258	0.0924107958590958	Inf	1	16.6008645218534	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	15.0743809847476	0.674860509837171	Inf	1	60.6002943711673	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.757288490035867	0.0328515843323653	Inf	1	-6.40865687123625	9.6741267219258e-09
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq seurat"	0.976019929053805	0.0383045089408211	Inf	1	-0.618470866108612	0.999978408435071
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	2.31568642460743	0.094531463351747	Inf	1	20.5698301447492	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	3.20499621249372	0.130763636416892	Inf	1	28.5468816337053	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.48704265540314	0.0592646827531728	Inf	1	9.95605924355303	1.01252339845814e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	6.74282213800136	0.300562763785408	Inf	1	42.8147893940528	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.723675257767348	0.0317149406648995	Inf	1	-7.37966517885441	1.05494502022907e-11
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq scvi"	0.757235012808704	0.0334899349869444	Inf	1	-6.2876544796559	2.12280807376786e-08
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.15287361143874	0.0953245949213138	Inf	1	17.3179969983161	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	15.5560455116618	0.696160170818239	Inf	1	61.3260865207611	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.781485769025947	0.0338819206902178	Inf	1	-5.68686276695298	8.47811699400403e-07
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	2.37258108740911	0.096815901054358	Inf	1	21.1727501181156	0
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	3.28374054370056	0.13395586643311	Inf	1	29.1462582820578	0
"BrainAgingSpatialAtlas snRNAseq seurat / whole cortex seurat"	1.52357816796297	0.0606926909312997	Inf	1	10.5699762412222	1.16018306073329e-13
"BrainAgingSpatialAtlas snRNAseq seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	6.90848817455822	0.30809491682289	Inf	1	43.3385476204106	0
"BrainAgingSpatialAtlas snRNAseq seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.741455411129678	0.0324839661593475	Inf	1	-6.82795807175282	5.68201041772909e-10
"BrainAgingSpatialAtlas snRNAseq seurat / BrainAgingSpatialAtlas snRNAseq scvi"	0.775839703952357	0.0343027988256628	Inf	1	-5.74050443520361	6.18950869335499e-07
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.2057680866474	0.0976722460830834	Inf	1	17.8651540713816	0
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	15.9382457761313	0.713830995302244	Inf	1	61.8193464361401	0
"BrainAgingSpatialAtlas snRNAseq seurat / whole cortex scvi"	0.800686282895425	0.0347055038612391	Inf	1	-5.12833365534908	1.88898601731768e-05
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.38403722474516	0.0579929005574368	Inf	1	7.7564438491349	6.46038778029379e-13
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	0.642160630904605	0.0264853857680158	Inf	1	-10.7388933634116	1.14797060746241e-13
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	2.91180276670855	0.132435910325812	Inf	1	23.4985693412682	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.31251004025298	0.0141919156376643	Inf	1	-25.6122059388321	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / BrainAgingSpatialAtlas snRNAseq scvi"	0.327002397544855	0.014993581252335	Inf	1	-24.378384096668	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.929691338413278	0.0423353286272653	Inf	1	-1.60095497326809	0.909233016177875
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	6.71768221567345	0.3049075187213	Inf	1	41.9650505310661	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.337474781007289	0.0151608268826057	Inf	1	-24.1798732485479	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	0.463976415824252	0.019094981474974	Inf	1	-18.6592216211308	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	2.1038471470626	0.0947313400110692	Inf	1	16.5180122510263	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.225795979086127	0.010265067253613	Inf	1	-32.7335690715553	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / BrainAgingSpatialAtlas snRNAseq scvi"	0.236267053875711	0.0108446175837017	Inf	1	-31.4335049315412	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.671724229515907	0.030477934067225	Inf	1	-8.76975578540706	9.51461132103759e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	4.85368608269215	0.217268750226736	Inf	1	35.2906455261456	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.243833601418797	0.0109591150036588	Inf	1	-31.3998770092669	0
"whole cortex seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	4.534383807688	0.204514215340792	Inf	1	33.5163940419178	0
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.486654000904338	0.0217475073259215	Inf	1	-16.1162895837503	0
"whole cortex seurat / BrainAgingSpatialAtlas snRNAseq scvi"	0.509222119525157	0.0229645384960284	Inf	1	-14.9647783073353	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.44775511557542	0.0651216340183792	Inf	1	8.22598974818352	1.50990331349021e-13
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	10.4610620651259	0.472515894893845	Inf	1	51.9750068129894	0
"whole cortex seurat / whole cortex scvi"	0.525530162962329	0.0232291591208501	Inf	1	-14.5549227808913	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.107325277599841	0.00449858625467497	Inf	1	-53.2474684255595	0
