"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.97183751948241	0.180822681376705	10.9048129607951	1.09317854915689e-27	1.94342853183447e-27	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"cutoff"	0.083564372846988	0.048911620200031	1.7084768916924	0.0875478905875374	0.100054732100043	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"methodscvi"	-1.87702588956783	0.0446032977344837	-42.082670674744	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.031452662556786	0.0393186855925546	0.799941861808877	0.423744482235846	0.423744482235846	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"referenceBrainAgingSpatialAtlas snRNAseq"	0.055724936221793	0.039290176397399	1.41829183096979	0.156105580697363	0.16651261941052	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.808253492739977	0.040857338771818	-19.7823332854337	4.22672792137801e-87	8.45345584275601e-87	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-1.13325824606592	0.0408396568875983	-27.7489658932481	1.79327259091214e-169	4.09890877922775e-169	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"referencewhole cortex"	-0.365336690053279	0.0398968077191789	-9.15704064908575	5.33399840289569e-20	8.5343974446331e-20	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"subsample_ref100"	0.0568418539256122	0.019951309193694	2.84902877168473	0.00438529145248661	0.00539728178767583	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"subsample_ref50"	0.124792585641189	0.0203235455507539	6.14029600935257	8.23678470529461e-10	1.19807777531558e-09	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"cutoff:methodscvi"	-2.84680197258649	0.0702759606997197	-40.5089015396106	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	2.20043841578333	0.0574730364640784	38.286447892111	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"methodscvi:referenceBrainAgingSpatialAtlas snRNAseq"	2.13083523677637	0.0576628913088816	36.9533193429752	6.44213349257367e-299	2.06148271762357e-298	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	1.949928531671	0.0579195489738491	33.6661553174629	1.80928435856397e-248	4.82475828950391e-248	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	0.297287456235219	0.0567485988047367	5.2386748306886	1.61733716002115e-07	2.15644954669486e-07	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	2.52037358128395	0.0576064289360009	43.7516025179067	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.532687872376315	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	67131.1873195815	-134226.374639163	-134084.097468974
