"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.0538899913676917	0.0059859187028641	0.0432717611849062	0.066931492191435
0.05	"seurat"	0.0513904045096276	0.00550026986363201	0.0416001058131882	0.0633325255666932
0.1	"seurat"	0.0490007516571911	0.00510965293441337	0.0398849868608006	0.0600695870299595
0.15	"seurat"	0.0467167452830931	0.00480947298167271	0.0381279495322249	0.0571253709171175
0.2	"seurat"	0.0445342147743478	0.00459260615195784	0.0363357011285013	0.0544780032045386
0.25	"seurat"	0.0424491081424302	0.00444941349446553	0.0345200951008942	0.0521010763739349
0.5	"seurat"	0.033351510604928	0.00442605088167125	0.0256708257407465	0.0432282902842151
0.75	"seurat"	0.0261504418977767	0.00472199243654178	0.0183142360918874	0.0372124671019133
0	"scvi"	0.0249696527824309	0.00329335916843369	0.0192555944834485	0.0323234613074561
0.05	"scvi"	0.0249696537398631	0.00316073276306754	0.0194587073709499	0.0319904476984688
0.1	"scvi"	0.0249696546972953	0.00305359903651405	0.0196243112500242	0.0317238687785604
0.15	"scvi"	0.0249696556547277	0.00297471361373841	0.0197471321889621	0.0315289546671051
0.2	"scvi"	0.02496965661216	0.00292636184810653	0.0198227859900625	0.0314100582610503
0.25	"scvi"	0.0249696575695924	0.00291006612731042	0.0198483477056689	0.0313700857259866
0.5	"scvi"	0.0249696623567547	0.00329336023063114	0.0192556021664182	0.0323234731834196
0.75	"scvi"	0.024969667143918	0.00424021581675432	0.0178647363717668	0.0348001558470164
