"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.0311183616192607	0.0054994882853074	Inf	0.0219702662564243	0.0439045939746507
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.0311183758377165	0.00549948998158632	Inf	0.0219702774175786	0.0439046117626982
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.0311183634793969	0.00549948850722137	Inf	0.0219702677165911	0.0439045963017735
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.0532535078926155	0.00925708744814509	Inf	0.0377665447344858	0.0745988713018537
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.257828845656042	0.0322026488941798	Inf	0.19986720960581	0.32575602685357
"whole cortex"	"seurat"	0.0501064492569707	0.00870739725008046	Inf	0.0355449481412484	0.0701990854526753
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0249696562261844	0.00464176859890722	Inf	0.0173188680273772	0.0358768646619667
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0249696597411971	0.00464176906120081	Inf	0.0173188707234533	0.0358768691702669
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.0249696364465883	0.00464176599751208	Inf	0.0173188528560646	0.0358768392930011
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.0249696536160675	0.00464176825562856	Inf	0.0173188660253675	0.0358768613142807
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.0249696415609983	0.00464176667015568	Inf	0.0173188567789096	0.0358768458526568
"whole cortex"	"scvi"	0.0249696691035637	0.00464177029253161	Inf	0.0173188779045593	0.0358768811782769
