"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.468210400627374	0.0345454652721525	Inf	0.401489940891616	0.536087278901307
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.265366438273364	0.0261427882159375	Inf	0.217363856394066	0.319640340950884
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.668478212799695	0.0302511331213965	Inf	0.606773367465486	0.724890480505946
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.192192785754343	0.0200049670151536	Inf	0.155990210964254	0.234463295641257
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.165277037220136	0.0175452786924768	Inf	0.133687892634005	0.202584902537855
"whole cortex"	"seurat"	0.187684371574224	0.0196400878323936	Inf	0.152178745030012	0.229234171452265
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.245302448017061	0.0239002374745888	Inf	0.201514227111303	0.295089296181449
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.272717229615933	0.0259409675912911	Inf	0.224920068758309	0.326394313621097
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.251550178209358	0.0242997440181445	Inf	0.206963325422168	0.30208360665575
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.291361656365888	0.0272192473388788	Inf	0.241007303194921	0.347420958818582
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.233517283180799	0.0230190928075271	Inf	0.191448981311258	0.281609953423344
"whole cortex"	"scvi"	0.194993499242234	0.0198373517259843	Inf	0.159014865237444	0.23682028656296
