"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	-4.04064907506937	0.640365570039974	-6.30990993912607	2.79197889529124e-10	4.88596306675967e-10	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"cutoff"	-1.10618472477119	0.155181053257114	-7.12834912222429	1.01579862002982e-12	2.37019678006959e-12	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"methodscvi"	0.532708456865795	0.127496356782311	4.17822493371594	2.93793027639117e-05	4.57011376327515e-05	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	4.26937757219333e-06	0.121233611017273	3.52161214729886e-05	0.999971901600391	0.999971901600391	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	5.70076811417852	0.15908105089952	35.8356201567921	3.0804146136056e-281	4.31258045904784e-280	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	3.8921815975518	0.140981032386982	27.6078386691627	8.95953930365742e-168	6.27167751256019e-167	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"referencewhole cortex"	3.51355122516251	0.137696037017129	25.5167200253224	1.28596909445131e-143	6.00118910743944e-143	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"subsample_ref100"	0.155913503736675	0.0623092265832648	2.50225387613062	0.0123405396720208	0.0157061414007538	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"subsample_ref50"	0.173724860495649	0.0623075590943642	2.78818273449846	0.00530046365439901	0.00742064911615862	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"cutoff:methodscvi"	-3.54328464428631	0.251757606337137	-14.0741910277832	5.47275629903442e-45	1.91546470466205e-44	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	1.85050505729581e-05	0.172415893089004	0.000107327986077279	0.999914364657131	0.999971901600391	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-2.01521151012096	0.166816219624211	-12.0804290773443	1.34018541642661e-33	3.75251916599452e-33	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-1.12136773571184	0.166191959778186	-6.74742470820197	1.50492284185647e-11	3.00984568371294e-11	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	0.191885945669575	0.163491419520935	1.17367594110958	0.240524850460904	0.280612325537722	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.886195766628758	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	7226.15581053899	-14420.311621078	-14335.9532467969
