"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.999995730631542	0.121233093426318	Inf	1	-3.52161214729886e-05	1
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.00334339636076868	0.000531871006644713	Inf	1	-35.8356201567921	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.0204007911391757	0.00287612459631218	Inf	1	-27.6078386691627	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	0.0297909320571238	0.00410209328331249	Inf	1	-25.5167200253224	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.587012915485285	0.0748420081085364	Inf	1	-4.17822493371594	0.00121600005807487
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.586999546754054	0.0748399701228039	Inf	1	-4.17842218266717	0.00121497657014025
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.0147241678919858	0.002338863231328	Inf	1	-26.5558251282043	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.0367534816621089	0.00557884167036726	Inf	1	-21.7636481074263	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.0144343336693543	0.00232490517581997	Inf	1	-26.3128185896574	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.00334341063502059	0.000531873013313254	Inf	1	-35.8356111127275	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.0204008782380418	0.00287613499028451	Inf	1	-27.6078264828226	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	0.0297910592461325	0.00410210797257583	Inf	1	-25.5167065868651	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.587015421670411	0.0748422642362621	Inf	1	-4.17819498695074	0.00121615551695697
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.587002052882104	0.0748402249924788	Inf	1	-4.17839230576846	0.00121513154381958
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.0147242307551522	0.00233887206399633	Inf	1	-26.5558113401059	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.0367536385769342	0.00557886240307041	Inf	1	-21.7636320176248	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.0144343952951063	0.00232491398394329	Inf	1	-26.3128047338659	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	6.10181651764596	0.686472747980697	Inf	1	16.0758939276275	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	8.9103799976245	0.975485217086637	Inf	1	19.9787072904702	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	175.573833354991	28.010483489741	Inf	1	32.3941586147205	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	175.569834806872	28.0097768417587	Inf	1	32.3940953521319	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	4.40395523090196	0.546462451984523	Inf	1	11.9475309831464	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	10.9928580689305	1.43528706541542	Inf	1	18.3604962526052	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	4.31726666892576	0.551413362306623	Inf	1	11.4515384315131	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	1.46028317499492	0.148206842946074	Inf	1	3.7306480008033	0.00732184956415216
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	28.7740270208463	4.11056612014784	Inf	1	23.5163644375169	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	28.7733717162976	4.11045938294461	Inf	1	23.5162800907044	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.721744945651196	0.0871332573480634	Inf	1	-2.70102482923054	0.173013353109092
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.80157139060804	0.223510702407654	Inf	1	4.74479165499093	9.08156741621369e-05
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.707537936685013	0.0881135329815896	Inf	1	-2.77803724097564	0.143843004624963
"whole cortex seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	19.7044159061453	2.76824579476297	Inf	1	21.2176844153297	0
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	19.7039671544512	2.76817358032705	Inf	1	21.2175925924336	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.494249990693556	0.0586671601546046	Inf	1	-5.93696381158611	1.30198562708905e-07
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.23371372173366	0.150474988077694	Inf	1	1.72198414611359	0.783205849490912
"whole cortex seurat / whole cortex scvi"	0.484521049615924	0.0594311461275341	Inf	1	-5.90736109495298	1.55850282790304e-07
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.99997722583119	0.122592690339705	Inf	1	-0.000185768901990597	1
