"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	1.52898373633608	0.165305186947967	Inf	1	3.92735120375	0.00342350091516563
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.35637075986118	0.147048808163236	Inf	1	2.81157574550914	0.132354635975299
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.37387492591821	0.147086891358472	Inf	1	2.96689241678917	0.0880713137186028
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	0.999254100674061	0.110231638997079	Inf	1	-0.00676412943352424	1
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	2.14619717716412	0.262992936516511	Inf	1	6.23227941403771	2.06478241171482e-08
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.75652175207168	0.220198181119648	Inf	1	4.49373009640997	0.000299275426763335
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.62983442701643	0.200571555874427	Inf	1	3.96935128941294	0.002893374464919
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.46584583935126	0.18120994466343	Inf	1	3.09357746856606	0.0615569033032756
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	1.45804507037099	0.186193042889571	Inf	1	2.95297692540941	0.0914769938482736
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.887106074202904	0.0957261489628372	Inf	1	-1.11011539839258	0.983841854235731
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.898554309812637	0.0957788614961899	Inf	1	-1.00352700345168	0.992136236791935
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	0.653541353597774	0.0719458464929978	Inf	1	-3.86378756313308	0.00439887712845832
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	1.40367560894211	0.170238025937105	Inf	1	2.79595759391847	0.137614796958134
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.14881650492952	0.142608885179872	Inf	1	1.11758773011907	0.983071481486541
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.06595929589286	0.130038260451774	Inf	1	0.523602054820738	0.999957574881446
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.958705972153692	0.117560753695302	Inf	1	-0.343902569399482	0.999998891608573
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.953604041508594	0.120752903037592	Inf	1	-0.375167987140631	0.999997622655503
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.01290514848522	0.108325265745226	Inf	1	0.119898750380783	0.999999999907507
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	0.736711620631168	0.081250189239799	Inf	1	-2.77056195358858	0.146502532155526
