"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.806057417430578	0.0706634538335101	Inf	0.631499218664908	0.909745528863723
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.604026370386631	0.10811935878131	Inf	0.386103490180877	0.787222079620171
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.6967687321431	0.0954920492911936	Inf	0.486534035940873	0.847844269804809
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.674994095038832	0.0991529362439721	Inf	0.461328883329094	0.834341616437009
"whole cortex"	"seurat"	0.469605501297709	0.112694956698476	Inf	0.26727012501445	0.682451542531474
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.604815769315528	0.10815129290677	Inf	0.386679298212301	0.787920497056906
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.445952585918911	0.111806313104571	Inf	0.249001245707155	0.661474235531191
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.472111407104111	0.112791926230205	Inf	0.269196628051431	0.684679620074765
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.421404635465626	0.110342936059982	Inf	0.230764553389574	0.638758420570473
"whole cortex"	"scvi"	0.386140943744138	0.107300323225173	Inf	0.205741311170343	0.60435962813245
