"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	0.069295806304	0.221685761983057	0.312585732543781	0.75459541909776	0.75459541909776	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"cutoff"	-1.56200425827303	0.176679498245682	-8.84089140948874	9.49579160454775e-19	2.65882164927337e-18	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"methodscvi"	-2.3193723426517	0.157483549065967	-14.7277119191679	4.27951548027226e-49	5.99132167238117e-48	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-1.4403550192069	0.141554008585635	-10.1753036427473	2.55601549742959e-24	8.94605424100357e-24	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.0944550131592423	0.14136818623402	0.668149006332174	0.504038482342319	0.542810673291728	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-1.81045643656086	0.141662490203641	-12.7800692615124	2.11880762412498e-37	9.88776891258323e-37	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"referencewhole cortex"	-1.79675126679976	0.140446709242463	-12.7931175923667	1.7914071625294e-37	9.88776891258323e-37	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"subsample_ref100"	0.268046677111266	0.0707672712084334	3.78772096951116	0.00015203545298824	0.000193499667439578	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"subsample_ref50"	0.341319288450553	0.0730824704979944	4.67033046535995	3.0071557601844e-06	4.67779784917573e-06	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"cutoff:methodscvi"	0.460340618271929	0.252778509145027	1.8211224515444	0.0685882451360212	0.080019619325358	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	1.0419264281836	0.188883456682231	5.51623973049416	3.46329760520722e-08	6.06077080911263e-08	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.770882941147193	0.190229949661967	-4.05237420562339	5.07004858991912e-05	7.09806802588677e-05	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	1.43062679954986	0.190063331079019	7.52710578851783	5.18773391673053e-14	1.21047124723712e-13	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	1.28519518956984	0.189075541226649	6.7972577586291	1.0662922587655e-11	2.132584517531e-11	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.264883202677823	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	7081.16641592951	-14130.332831859	-14045.9744575779
