"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	0.498365001084743	0.253454664888985	1.96628853251934	0.0492652907111331	0.0558339961392841	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"referenceAdult mouse cortical cell taxonomy revealed by single cell transcriptomics"	-0.742708918341722	0.0234753105834296	-31.6378739996724	1.11344286303383e-219	4.73213216789376e-219	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.815910652041375	0.0237081154797067	34.4148252837627	1.51333842682239e-259	1.28633766279903e-258	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.397925290688609	0.0235639303713469	16.8870508619596	5.6034790158432e-64	1.19073929086668e-63	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"referencewhole cortex"	0.281274082379428	0.023391904486485	12.0244199245059	2.64438707773207e-33	4.49545803214451e-33	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"methodscvi"	-0.772521146663026	0.0266915884074558	-28.9424943495396	3.48816222856927e-184	9.88312631427959e-184	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"cutoff"	-0.943238611733791	0.0318801814425513	-29.5869900688465	2.19697626800748e-192	7.46971931122542e-192	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"subsample_ref100"	-0.0341304014124868	0.0133755220730992	-2.55170611105563	0.0107196898375948	0.0130167662313652	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"subsample_ref50"	-0.0421435895943083	0.0132106949073391	-3.19011148844983	0.00142217917953264	0.001859772773235	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"treatment_statetreatment"	-0.192534317785047	0.0257299101590334	-7.48289895281467	7.27007807805686e-14	1.02992772772472e-13	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"sexmale"	0.0273976776826768	0.0399497256576806	0.685803900568449	0.492836776303321	0.492836776303321	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
"fixed"	"cond"	NA	"sexNone"	-0.40618946030083	0.452136840666442	-0.89837726937295	0.368984450593249	0.392045978755327	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"subclass"	17653.3526723193	-35268.7053446385	-35116.4538147251
