"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	-1.56813375998892	0.136142512787402	-11.5183253774498	1.06663840869369e-30	4.26655363477474e-30	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"cutoff"	-0.13236656926717	0.116266686450496	-1.13847373919552	0.254922718411587	0.291340249613243	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"methodscvi"	0.18338521932908	0.100137545383315	1.83133327891255	0.0670508133581918	0.082524077979313	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	1.0203826300625	0.0965402028275028	10.5695099054817	4.12645391422841e-26	1.32046525255309e-25	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"referenceBrainAgingSpatialAtlas snRNAseq"	0.00103764614932732	0.0915420558254639	0.0113351851230621	0.990956024468224	0.995377630874276	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	2.43581348811231	0.100285477935346	24.2887957285567	2.57479174259583e-130	2.05983339407667e-129	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	1.41787603063077	0.0971405420486122	14.5961305210879	2.97244129974382e-48	1.58530202653004e-47	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"referencewhole cortex"	2.60773899584594	0.0999007088429874	26.1033082352247	3.34376650699717e-150	5.35002641119547e-149	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"subsample_ref100"	0.195850671924029	0.0479802282317948	4.08190371621129	4.46683028936789e-05	6.49720769362602e-05	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"subsample_ref50"	0.401278550987773	0.0480151142155136	8.35733825783801	6.41491677625463e-17	1.28298335525093e-16	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"cutoff:methodscvi"	-0.793130192796425	0.164368931838398	-4.82530478190493	1.39789330259085e-06	2.23662928414537e-06	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.503746844756047	0.134383934051512	-3.74856450148981	0.000177849600770668	0.000237132801027557	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"methodscvi:referenceBrainAgingSpatialAtlas snRNAseq"	0.000753298520834359	0.13002897021507	0.00579331297931832	0.995377630874276	0.995377630874276	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-1.32833157550026	0.136574644680473	-9.72604818857847	2.33488091140086e-22	6.22634909706897e-22	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-1.04022663655341	0.134495958702674	-7.73425942747475	1.04006752318976e-14	1.84900893011512e-14	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	-1.22954931743013	0.134680279412056	-9.12939387115689	6.88838744662421e-20	1.57448855922839e-19	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.247946688833491	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	33144.631269294	-66253.2625385879	-66139.1945742558
