"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.52638105126231	0.152709813914023	9.99530424496275	1.59795776996496e-23	8.52244143981312e-23	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"cutoff"	-1.06236771314122	0.171746991360942	-6.18565545004836	6.18449562722017e-10	9.89519300355227e-10	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"methodscvi"	-1.04495722367874	0.157092491399438	-6.65185976980739	2.8941238796885e-11	5.14510911944622e-11	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-1.1983459072673	0.143711739559602	-8.33853873691581	7.52141915494671e-17	3.00856766197869e-16	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"referenceBrainAgingSpatialAtlas snRNAseq"	-1.19518952466547	0.147490232564914	-8.10351644227994	5.33930073084573e-16	1.70857623387063e-15	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.99300407097118	0.144217323113296	-6.88547013309268	5.75969982577256e-12	1.15193996515451e-11	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-2.51504866378493	0.148589985815476	-16.9260980138204	2.88908654592525e-64	4.6225384734804e-63	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"referencewhole cortex"	-1.07212317519527	0.14460559846456	-7.41411941570176	1.22435564535479e-13	2.79852718938237e-13	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"subsample_ref100"	-0.156698969670248	0.0711487551591199	-2.20241337068794	0.0276361222608659	0.0294785304115903	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"subsample_ref50"	-0.262675086774262	0.0707411416180737	-3.71318699085217	0.000204665552709535	0.000251896064873274	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"cutoff:methodscvi"	-2.51679132507058	0.244249299118982	-10.3041905714725	6.74571470083912e-25	5.3965717606713e-24	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.341378129923353	0.197036938009081	1.73255904894147	0.0831740731981055	0.0831740731981055	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"methodscvi:referenceBrainAgingSpatialAtlas snRNAseq"	1.17758172289556	0.19976216795542	5.89491861721464	3.74866090231985e-09	5.4525976761016e-09	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.956735872404716	0.197777196587193	-4.83744278366755	1.31520226590429e-06	1.75360302120572e-06	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	1.55668969701662	0.198371375375473	7.84735042578677	4.24918724850373e-15	1.133116599601e-14	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	-0.579622290704216	0.196995392986982	-2.94231393899917	0.00325769484145081	0.00372307981880092	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.133304719557071	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	3975.13930438804	-7914.27860877608	-7816.09364968753
