"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.85722063185555	0.0447482112763596	Inf	1	-2.95125461229641	0.123310317547501
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq seurat"	2.52825496665898	0.150290822481556	Inf	1	15.6032856310403	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.790530414758396	0.0411472195500906	Inf	1	-4.51585996177199	0.000391883457581788
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.14778271219914	0.0585375488324842	Inf	1	2.70255922157992	0.224706653494443
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	1.13254144550171	0.0584969391283139	Inf	1	2.4097130180442	0.399201338804
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	1.18261707313236	0.0708984362880719	Inf	1	2.79780745975556	0.180684081487755
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.10225273946268	0.0627283832607492	Inf	1	1.71072401108672	0.863781900173305
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq scvi"	1.67858566799583	0.104716388374397	Inf	1	8.30267452181568	1.37112543541207e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.06844737214434	0.0605283267345754	Inf	1	1.16867932989385	0.991232860120542
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.848713350179824	0.0489559702671643	Inf	1	-2.84373202871559	0.161796738565655
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	1.10914854565196	0.0638034002607043	Inf	1	1.80083868653079	0.818003763626038
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq seurat"	2.94936317758276	0.171607299255246	Inf	1	18.5889504404649	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.922201805907546	0.0467407023779597	Inf	1	-1.59796982030577	0.91030854799108
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.33895833761564	0.0663680406074473	Inf	1	5.88884587821235	2.5544084902851e-07
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.32117847309647	0.0662895044378884	Inf	1	5.55110610589918	1.85577631617306e-06
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	1.3795947381393	0.0815641881978382	Inf	1	5.44282372148118	3.42080160942171e-06
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.28584485545656	0.0720490032702058	Inf	1	4.48697312114933	0.000447662164511642
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq scvi"	1.95817226699543	0.120574384919917	Inf	1	10.9137137631804	1.21014309684142e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.24640883856419	0.069475048086814	Inf	1	3.95166472387509	0.00444334393297463
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.990075738544334	0.0562203282107551	Inf	1	-0.175645581689971	0.999999999969673
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	1.2938892327534	0.0732573456557548	Inf	1	4.55072336140183	0.000333331477072818
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.312678280151095	0.0181813693652546	Inf	1	-19.9937450512148	0
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.453982184287332	0.0258442035785991	Inf	1	-13.8719119240191	0
"BrainAgingSpatialAtlas snRNAseq seurat / whole cortex seurat"	0.447953810211764	0.0257537130828367	Inf	1	-13.9683196153161	0
"BrainAgingSpatialAtlas snRNAseq seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.46776020960226	0.0307513044809166	Inf	1	-11.5573623071272	0
"BrainAgingSpatialAtlas snRNAseq seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.435973726542017	0.0274778154348232	Inf	1	-13.1718530216099	0
"BrainAgingSpatialAtlas snRNAseq seurat / BrainAgingSpatialAtlas snRNAseq scvi"	0.663930533166928	0.0449030075118379	Inf	1	-6.05596799541192	9.1807935365118e-08
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.422602698791989	0.0265287222091838	Inf	1	-13.7208770073975	0
