"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.770476102071463	0.0221746122229084	0.724164906214429	0.811040767564563
0.05	"seurat"	0.756679501215392	0.0230184954412731	0.70878689494654	0.798930120660364
0.1	"seurat"	0.742330935926672	0.0238592440762742	0.692879529610408	0.78627594858641
0.15	"seurat"	0.727441018594629	0.0246923832786926	0.67646298567063	0.773081151032442
0.2	"seurat"	0.712024453289403	0.0255131043394279	0.659562058333569	0.759352000856927
0.25	"seurat"	0.696100181589942	0.0263163003605611	0.642206208409154	0.745098331955177
0.5	"seurat"	0.609828049250463	0.0298766501363844	0.549948946370601	0.666570521607828
0.75	"seurat"	0.516090315364721	0.0321732094004412	0.45310469655457	0.578568853814076
0	"scvi"	0.777412572353955	0.0217166530635546	0.731972862473394	0.817073894472642
0.05	"scvi"	0.729975187694708	0.0246476027467862	0.679046366864885	0.775494492095763
0.1	"scvi"	0.676633223955892	0.0272822109717747	0.621032405143779	0.727653880096614
0.15	"scvi"	0.61826431374568	0.0293688819750578	0.559288006609465	0.673949355546083
0.2	"scvi"	0.556268901660108	0.0306782620371035	0.495603302448455	0.615301713081557
0.25	"scvi"	0.492470201258209	0.0310528764717418	0.432011537401966	0.553149906640049
0.5	"scvi"	0.212337254366257	0.0209963526994094	0.17408220427037	0.256389284690517
0.75	"scvi"	0.0696766549886366	0.00838268469844467	0.054932553831309	0.0880095965604466
