"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.943008091293992	0.017885016425873	0.896031586995368	0.969481921503944
0.05	"seurat"	0.941147130740943	0.0184294098430076	0.892821757097861	0.968453080769739
0.1	"seurat"	0.939229320094327	0.0189886278397286	0.889522679471189	0.967391482138622
0.15	"seurat"	0.937253181221649	0.0195629395979584	0.886132570526793	0.96629618771132
0.2	"seurat"	0.935217214629758	0.0201526091093791	0.882649658403378	0.965166238795301
0.25	"seurat"	0.933119900362565	0.020757894256123	0.879072186761833	0.964000655821527
0.5	"seurat"	0.921658618581828	0.0240270251112276	0.859706572911588	0.957602479557262
0.75	"seurat"	0.90842596467128	0.0277198471430005	0.837730051360508	0.950154511320667
0	"scvi"	0.933521359173988	0.0206533403243623	0.879718938572456	0.964236024593153
0.05	"scvi"	0.91339315894553	0.0263207884454081	0.846006725284061	0.952932298000955
0.1	"scvi"	0.887902415982971	0.0331108519401691	0.80493725922892	0.938285829540723
0.15	"scvi"	0.856091124224545	0.0409780484487799	0.756068656696665	0.919468522823694
0.2	"scvi"	0.817111815850105	0.0497004806743406	0.699522539351686	0.895554410863299
0.25	"scvi"	0.770406060880346	0.05882179136787	0.636170842918896	0.865579721554523
0.5	"scvi"	0.4450053385708	0.082140950707166	0.294679013288671	0.606117660997515
0.75	"scvi"	0.160791607737799	0.0449220480014356	0.0907199596372716	0.268976014990559
