"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.231806619610891	0.0175582946641936	0.199180903123207	0.26798805577577
0.05	"seurat"	0.226722296158108	0.0171790018909466	0.194819941616572	0.262147909915019
0.1	"seurat"	0.221717303371913	0.0168269059356636	0.190488745596563	0.256443620178704
0.15	"seurat"	0.216791822341307	0.0165014335516994	0.186188700668025	0.250874422222208
0.2	"seurat"	0.21194596367511	0.0162018714153245	0.181921371601511	0.245439175782723
0.25	"seurat"	0.207179769590497	0.015927372584656	0.177688492686451	0.240136380728907
0.5	"seurat"	0.184540733803317	0.0148931885595966	0.157111164592817	0.215534596536723
0.75	"seurat"	0.163864217855956	0.0143036229632692	0.137715584644323	0.19386156513623
0	"scvi"	0.228674732343584	0.0174267245702899	0.196315684664944	0.264611435002262
0.05	"scvi"	0.214551695660361	0.0165484614068743	0.18389202701614	0.248764976984147
0.1	"scvi"	0.201073521384497	0.0156998371170257	0.172048962006718	0.23361294154493
0.15	"scvi"	0.18823912943315	0.0148830231135567	0.160782496935832	0.219160043443268
0.2	"scvi"	0.176043435260467	0.0140994969238579	0.150085823113543	0.205405470452138
0.25	"scvi"	0.164477782783186	0.0133501161437895	0.139949606815654	0.192343455211937
0.5	"scvi"	0.115602062080448	0.0101121101163942	0.0972083359276697	0.136948277653127
0.75	"scvi"	0.0798618754001227	0.00763603749181609	0.0661171903733577	0.0961696168548684
