"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.421333474918887	0.0497209411378203	0.32804802682933	0.52059418448417
0.05	"seurat"	0.415659620030439	0.0494940236267856	0.322996941867153	0.514695524411393
0.1	"seurat"	0.410008034635132	0.0492636323629415	0.31797183959969	0.508810037725842
0.15	"seurat"	0.404380114619601	0.0490299087085777	0.312973887568433	0.502939414157923
0.2	"seurat"	0.398777231398415	0.0487929875086092	0.308004241398781	0.497085308499222
0.25	"seurat"	0.393200730666409	0.0485529970174195	0.303064043403327	0.491249338845686
0.5	"seurat"	0.365759117842396	0.0473110317106385	0.278843648291975	0.462395403039553
0.75	"seurat"	0.339162212120603	0.0460078285870698	0.2555207056894	0.434214045930339
0	"scvi"	0.26529261774434	0.0397647602604825	0.194893084732259	0.350064939124109
0.05	"scvi"	0.254225150001165	0.0386524525120003	0.18606187682837	0.337020156253223
0.1	"scvi"	0.243466392869783	0.0375302368340283	0.177532998138236	0.324233379799921
0.15	"scvi"	0.233020681019921	0.0364021387431815	0.169304492045448	0.311717772138528
0.2	"scvi"	0.222891094471594	0.0352719718981472	0.161373618656827	0.299485003918046
0.25	"scvi"	0.2130795148133	0.0341433219771507	0.153736919904851	0.287545251573126
0.5	"scvi"	0.168781917727264	0.0286311479891347	0.119802907399415	0.232495837202023
0.75	"scvi"	0.132146968929884	0.023552254485772	0.0924027148788605	0.185492233121065
