"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	-1.40093019887334	0.102415086405665	-13.6789436794914	1.35648935859231e-42	3.61730495624615e-42	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"cutoff"	-0.355483015797686	0.108314606255462	-3.28194901950039	0.00103092242012474	0.00149952352018144	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"methodscvi"	0.402588699587262	0.0898387350969596	4.48123739890998	7.4211505740528e-06	1.18738409184845e-05	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	2.54104748606001	0.0896228376725704	28.3526783133504	7.75722531666291e-177	3.10289012666516e-176	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"referenceBrainAgingSpatialAtlas snRNAseq"	2.75061975319587	0.0886602067376406	31.0242876078034	2.53614660646293e-211	4.05783457034069e-210	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	2.69644591353858	0.0888749135806376	30.3397866158492	3.42646156678558e-202	2.74116925342846e-201	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	1.9364590541003	0.0909230519550052	21.2977788631489	1.1903296898805e-100	3.80905500761761e-100	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"referencewhole cortex"	2.66664208945624	0.0892458331826793	29.8797377351818	3.60826041081989e-196	1.92440555243728e-195	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"subsample_ref100"	0.0498044928282378	0.0434581937523272	1.14603227902381	0.251781796273042	0.309885287720667	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"subsample_ref50"	-0.030664530780985	0.0437189138583332	-0.701401935106401	0.483052214687172	0.515255695666316	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"cutoff:methodscvi"	-1.84963305018792	0.1557136353411	-11.8784269992553	1.53223554494746e-32	3.50225267416561e-32	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.0999201154708257	0.122406088791135	-0.816300205795501	0.414328456726406	0.47351823625875	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"methodscvi:referenceBrainAgingSpatialAtlas snRNAseq"	-0.719701762101206	0.120044949796628	-5.99526896650357	2.03148922457239e-09	4.06297844914477e-09	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.626865989048377	0.120965756081378	-5.18217724879645	2.19310650031291e-07	3.89885600055629e-07	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.0107904482027064	0.1232275433324	-0.0875652302310345	0.930222238244796	0.930222238244796	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	-0.269439198561309	0.120617381592558	-2.23383392180961	0.0254940026626779	0.0339920035502372	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.127797658985901	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	34667.7975812516	-69299.5951625033	-69182.1422580041
