"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.0243415806618046	0.00649970499294429	Inf	1	-13.9149128714807	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq seurat"	0.0243415877877227	0.006499706760045	Inf	1	-13.9149120655783	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.0243415787885505	0.00649970452841123	Inf	1	-13.9149130833343	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.0243415760416803	0.00649970384723682	Inf	1	-13.9149133939894	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	0.0243415863373402	0.00649970640037531	Inf	1	-13.9149122296101	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.604831096663391	0.1528716188937	Inf	1	-1.98933412347444	0.700958401909612
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.0194519581218171	0.00567958285197716	Inf	1	-13.4934154955784	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq scvi"	0.0163769219909467	0.00491907155802018	Inf	1	-13.6895696878403	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.0163840663476669	0.00492054065751794	Inf	1	-13.6900004327703	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.0264929578319353	0.00746950139725077	Inf	1	-12.8780554705804	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.0150561345850004	0.0045872950770537	Inf	1	-13.7717509595739	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq seurat"	1.00000029274673	0.232038169727925	Inf	1	1.26163195785969e-06	1
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.999999923043037	0.232038095170188	Inf	1	-3.3165657627964e-07	1
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.999999810196208	0.232038072412461	Inf	1	-8.17985477811471e-07	1
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.00000023316216	0.232038157711557	Inf	1	1.00484417082533e-06	1
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	24.8476508188499	6.90930780497454	Inf	1	11.5539241772138	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.799124690876792	0.203387915491949	Inf	1	-0.881047190666997	0.999294334398773
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq scvi"	0.672796159726983	0.174548682741317	Inf	1	-1.52758404326126	0.933260268190949
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.673089663950041	0.174614998384129	Inf	1	-1.52598881117567	0.933727905368938
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.08838280471681	0.272133703076299	Inf	1	0.338724408978948	0.999999961938676
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.618535615833101	0.162175885157183	Inf	1	-1.83223801535312	0.800361449860084
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.999999630296418	0.232038018351345	Inf	1	-1.59328853413925e-06	1
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.999999517449622	0.232037995593636	Inf	1	-2.07961743567112e-06	1
"BrainAgingSpatialAtlas snRNAseq seurat / whole cortex seurat"	0.999999940415453	0.232038080892687	Inf	1	-2.56787787034426e-07	1
"BrainAgingSpatialAtlas snRNAseq seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	24.8476435447836	6.90930564342218	Inf	1	11.5539233566529	0
"BrainAgingSpatialAtlas snRNAseq seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.799124456935722	0.203387849318586	Inf	1	-0.881048369618183	0.999294325502687
"BrainAgingSpatialAtlas snRNAseq seurat / BrainAgingSpatialAtlas snRNAseq scvi"	0.672795962768166	0.174548626061088	Inf	1	-1.52758522049932	0.933259922245461
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.673089466905303	0.174614941682063	Inf	1	-1.52598998842889	0.933727561101149
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.0883824860964	0.27213361446628	Inf	1	0.33872324928802	0.999999961940077
"BrainAgingSpatialAtlas snRNAseq seurat / whole cortex scvi"	0.618535434758877	0.162175832556213	Inf	1	-1.83223918977931	0.800360774506239
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.999999887153163	0.232038092606553	Inf	1	-4.86328901531737e-07	1
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.00000031011915	0.232038177905649	Inf	1	1.3365007471049e-06	1
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	24.8476527310498	6.90930837320146	Inf	1	11.553924392922	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.799124752375006	0.203387932887554	Inf	1	-0.881046880745405	0.999294336737352
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / BrainAgingSpatialAtlas snRNAseq scvi"	0.672796211503336	0.174548697641374	Inf	1	-1.52758373378998	0.933260359132581
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.673089715748982	0.174615013289922	Inf	1	-1.52598850170045	0.933727995869526
