"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.96817826260785	0.331451920584802	5.93805055989798	2.88431101916153e-09	4.21553148954378e-09	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	39397.4534752067	-78752.9069504134	-78580.3533656069
"fixed"	"cond"	NA	"referenceAdult mouse cortical cell taxonomy revealed by single cell transcriptomics"	0.13334264627352	0.0286279950157187	4.65777104545064	3.19651422370147e-06	4.338126446452e-06	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	39397.4534752067	-78752.9069504134	-78580.3533656069
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.300637754379491	0.0285001992240302	10.5486193979306	5.15489675717054e-26	8.9039125805673e-26	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	39397.4534752067	-78752.9069504134	-78580.3533656069
"fixed"	"cond"	NA	"referenceBrainAgingSpatialAtlas snRNAseq"	-0.733595943722254	0.0292018870300582	-25.1215252961956	2.89422270926581e-139	1.83300771586835e-138	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	39397.4534752067	-78752.9069504134	-78580.3533656069
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.433753020867763	0.0285828406372381	15.1752943793369	5.15459628323414e-52	1.08819254868276e-51	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	39397.4534752067	-78752.9069504134	-78580.3533656069
"fixed"	"cond"	NA	"referencewhole cortex"	0.220034085587095	0.0283446984767542	7.76279506968642	8.30777944091452e-15	1.31539841147813e-14	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	39397.4534752067	-78752.9069504134	-78580.3533656069
"fixed"	"cond"	NA	"methodscvi"	-0.617299805457595	0.0307295752776659	-20.0881333334354	9.3719801560459e-90	2.54382318521246e-89	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	39397.4534752067	-78752.9069504134	-78580.3533656069
"fixed"	"cond"	NA	"cutoff"	-1.25740055046627	0.0358375056625255	-35.0861625891866	1.095902847534e-269	1.0411077051573e-268	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	39397.4534752067	-78752.9069504134	-78580.3533656069
"fixed"	"cond"	NA	"subsample_ref100"	-0.0121010433971209	0.0144177443680113	-0.839315990646189	0.401292012267742	0.423586012949283	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	39397.4534752067	-78752.9069504134	-78580.3533656069
"fixed"	"cond"	NA	"subsample_ref50"	-0.0481829258318734	0.0143193093273342	-3.36489175074225	0.000765736946943807	0.000969933466128822	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	39397.4534752067	-78752.9069504134	-78580.3533656069
