	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	1465.506807967841	6.0	5052.797026384378	0.0	0.0	0.6026909846303476
reference	444.39948102480054	9.0	1021.4716001501952	0.0	0.0	0.6026909846303476
method	649.4907117034766	1.0	13435.94469401447	0.0	0.0	0.6026909846303476
region_match	3.114462119734783	1.0	64.42854383953714	1.0042438230305248e-15	1.2911706296106748e-15	0.6026909846303476
sex	1.6799652395254248	1.0	34.75326073090255	3.746155621912242e-09	3.746155621912242e-09	0.6026909846303476
disease_state	2.891390480705907	1.0	59.81388476776355	1.0455927230545919e-14	1.1762918134364159e-14	0.6026909846303476
label	19702.120366483206	10.0	40757.56509351595	0.0	0.0	0.6026909846303476
subsample_ref	29.29165711229693	1.0	605.9533691015071	1.1237774552169205e-133	1.6856661828253808e-133	0.6026909846303476
cutoff	1807.9038891625853	1.0	37399.91385430638	0.0	0.0	0.6026909846303476
Residual	15857.770617932003	328048.0				0.6026909846303476
