	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	603.6418835705178	6.0	4591.404950180757	0.0	0.0	0.3933425288409763
reference	95.03682951800678	9.0	481.91108158085694	0.0	0.0	0.3933425288409763
method	342.0263534058367	1.0	15609.070889823817	0.0	0.0	0.3933425288409763
region_match	0.45106935002986104	1.0	20.58547065374379	5.707412149519028e-06	7.338101335095893e-06	0.3933425288409763
sex	0.305371259095636	1.0	13.93624082902963	0.00018919090512109659	0.00021283976826123367	0.3933425288409763
disease_state	0.20940641000347002	1.0	9.55668902696869	0.0019926085497608196	0.0019926085497608196	0.3933425288409763
label	90.31973697568907	2.0	2060.9627930204306	0.0	0.0	0.3933425288409763
subsample_ref	36.49494633183371	1.0	1665.521380856809	0.0	0.0	0.3933425288409763
cutoff	818.8833109366801	1.0	37371.41165767887	0.0	0.0	0.3933425288409763
Residual	3096.957982071985	141336.0				0.3933425288409763
