	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	1924.0411163645824	6.0	7193.088604099607	0.0	0.0	0.6618054147638286
reference	927.1018452784735	9.0	2310.6663925189087	0.0	0.0	0.6618054147638286
method	747.7860284885852	1.0	16773.730397163443	0.0	0.0	0.6618054147638286
region_match	0.06122479959615693	1.0	1.3733451053130687	0.24123847514283092	0.2713932845356848	0.6618054147638286
sex	0.6041857526672579	1.0	13.552605342910011	0.00023199086751595415	0.0002982739725205125	0.6618054147638286
disease_state	0.009460000900458045	1.0	0.21219907649508707	0.6450494015620742	0.6450494015620742	0.6618054147638286
label	42064.17785733292	21.0	44930.93146695028	0.0	0.0	0.6618054147638286
subsample_ref	21.464433973897506	1.0	481.4727942076926	1.1328483065195882e-106	1.6992724597793823e-106	0.6618054147638286
cutoff	1943.5194273217194	1.0	43595.453316284635	0.0	0.0	0.6618054147638286
Residual	25077.44809457812	562517.0				0.6618054147638286
