study	query	query_region	count
GSE152715.2	GSE152715.2 1052353	neocortex	6612
GSE152715.2	GSE152715.2 1052352	neocortex	6583
GSE152715.2	GSE152715.2 1052248	neocortex	6525
GSE152715.2	GSE152715.2 1052351	neocortex	6496
GSE152715.1	GSE152715.1 1051991	Ammon's horn	5313
GSE152715.1	GSE152715.1 1051990	Ammon's horn	5198
GSE152715.1	GSE152715.1 1051989	Ammon's horn	5175
GSE152715.1	GSE152715.1 1051992	Ammon's horn	5175
GSE247339.1	GSE247339.1 1051959	Ammon's horn	4740
GSE247339.1	GSE247339.1 1051948	Ammon's horn	4740
GSE247339.2	GSE247339.2 1051964	cerebral cortex	4720
GSE247339.1	GSE247339.1 1051954	Ammon's horn	4720
GSE247339.2	GSE247339.2 1051973	cerebral cortex	4720
GSE247339.1	GSE247339.1 1051960	Ammon's horn	4680
GSE247339.2	GSE247339.2 1051975	cerebral cortex	4680
GSE247339.1	GSE247339.1 1051949	Ammon's horn	4660
GSE214244	GSE214244 1011521	Deep cerebellar nuclei	4640
GSE199460	GSE199460 1011266	brain	4640
GSE199460	GSE199460 1011261	brain	4640
GSE214244	GSE214244 1011519	entorhinal cortex	4620
GSE247339.2	GSE247339.2 1051971	cerebral cortex	4620
GSE247339.2	GSE247339.2 1051968	cerebral cortex	4600
GSE247339.2	GSE247339.2 1051980	cerebral cortex	4600
GSE247339.1	GSE247339.1 1051951	Ammon's horn	4580
GSE247339.1	GSE247339.1 1051943	Ammon's horn	4580
GSE214244	GSE214244 1011515	Deep cerebellar nuclei	4560
GSE247339.1	GSE247339.1 1051947	Ammon's horn	4560
GSE214244	GSE214244 1011520	Deep cerebellar nuclei	4560
GSE247339.2	GSE247339.2 1051974	cerebral cortex	4560
GSE247339.2	GSE247339.2 1051970	cerebral cortex	4560
GSE247339.2	GSE247339.2 1051961	cerebral cortex	4540
GSE247339.2	GSE247339.2 1051962	cerebral cortex	4540
GSE247339.2	GSE247339.2 1051966	cerebral cortex	4540
GSE247339.2	GSE247339.2 1051967	cerebral cortex	4540
GSE214244	GSE214244 1011516	Deep cerebellar nuclei	4540
GSE199460	GSE199460 1011263	brain	4540
GSE247339.1	GSE247339.1 1051944	Ammon's horn	4520
GSE247339.1	GSE247339.1 1051946	Ammon's horn	4520
GSE214244	GSE214244 1011517	entorhinal cortex	4520
GSE247339.1	GSE247339.1 1051955	Ammon's horn	4520
GSE247339.2	GSE247339.2 1051969	cerebral cortex	4500
GSE247339.2	GSE247339.2 1051965	cerebral cortex	4500
GSE199460	GSE199460 1011256	brain	4500
GSE247339.2	GSE247339.2 1051976	cerebral cortex	4500
GSE247339.2	GSE247339.2 1051977	cerebral cortex	4500
GSE199460	GSE199460 1011257	brain	4500
GSE247339.1	GSE247339.1 1051945	Ammon's horn	4500
GSE247339.1	GSE247339.1 1051940	Ammon's horn	4500
GSE214244	GSE214244 1011518	entorhinal cortex	4500
GSE199460	GSE199460 1011264	brain	4500
GSE247339.1	GSE247339.1 1051956	Ammon's horn	4480
GSE247339.1	GSE247339.1 1051941	Ammon's horn	4460
GSE247339.1	GSE247339.1 1051958	Ammon's horn	4440
GSE247339.1	GSE247339.1 1051950	Ammon's horn	4440
GSE247339.2	GSE247339.2 1051979	cerebral cortex	4440
GSE247339.2	GSE247339.2 1051963	cerebral cortex	4440
GSE247339.1	GSE247339.1 1051952	Ammon's horn	4400
GSE247339.2	GSE247339.2 1051978	cerebral cortex	4400
GSE247339.1	GSE247339.1 1051953	Ammon's horn	4400
GSE247339.1	GSE247339.1 1051957	Ammon's horn	4400
GSE247339.1	GSE247339.1 1051942	Ammon's horn	4400
GSE247339.2	GSE247339.2 1051972	cerebral cortex	4313
GSE181021.2	GSE181021.2 1051988	prefrontal cortex	3744
GSE181021.2	GSE181021.2 1051987	prefrontal cortex	3632
GSE181021.2	GSE181021.2 1051986	prefrontal cortex	3600
GSE181021.2	GSE181021.2 1051985	prefrontal cortex	3584
GSE199460	GSE199460 1011259	brain	1610
GSE199460	GSE199460 1011265	brain	1610
GSE199460	GSE199460 1011258	brain	1561
GSE199460	GSE199460 1011262	brain	1540
GSE199460	GSE199460 1011260	brain	1540
