	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	257.75990770668324	6.0	1414.788135279602	0.0	0.0	0.5773511371741336
reference	64.40737239665567	4.0	530.2771119569311	0.0	0.0	0.5773511371741336
method	114.00812265122595	1.0	3754.5949023849835	0.0	0.0	0.5773511371741336
strain	201.96199514051833	4.0	1662.788272879996	0.0	0.0	0.5773511371741336
age	178.8625415258732	3.0	1963.4752653986877	0.0	0.0	0.5773511371741336
treatment	16.436858667118415	4.0	135.32751949521207	2.847375318066774e-112	3.163750353407527e-112	0.5773511371741336
sex	166.54485735041905	2.0	2742.3856208002985	0.0	0.0	0.5773511371741336
genotype	203.3471360177934	4.0	1674.1923789120103	0.0	0.0	0.5773511371741336
subsample_ref	0.0008130419002516789	1.0	0.026775662146889395	0.8700241871693247	0.8700241871693247	0.5773511371741336
cutoff	111.73122741112802	1.0	3679.6106024690125	0.0	0.0	0.5773511371741336
Residual	258.1021568851146	8500.0				0.5773511371741336
