	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	138.44593321766982	6.0	350.62738586128626	0.0	0.0	0.5337844164943906
reference	806.0842941474847	4.0	3062.226772631917	0.0	0.0	0.5337844164943906
method	290.5034995379951	1.0	4414.365099468118	0.0	0.0	0.5337844164943906
strain	87.33756491242121	4.0	331.7859329019018	4.2394760685134445e-284	6.662033821949698e-284	0.5337844164943906
age	99.47166336334662	3.0	503.84274180922927	0.0	0.0	0.5337844164943906
treatment	44.82640696159121	4.0	170.29065634364426	1.3998888559709799e-145	1.9248471769600972e-145	0.5337844164943906
sex	27.51767775142711	2.0	209.07334417226645	2.5121381116952227e-91	3.0703910254052724e-91	0.5337844164943906
genotype	23.202691008898846	4.0	88.14450563101525	6.723563574691602e-75	7.395919932160762e-75	0.5337844164943906
label	4996.303557143576	12.0	6326.805036795081	0.0	0.0	0.5337844164943906
subsample_ref	2.799959403486094	1.0	42.54696790342799	6.93502866046921e-11	6.93502866046921e-11	0.5337844164943906
cutoff	732.8371487825076	1.0	11135.875259072802	0.0	0.0	0.5337844164943906
Residual	6245.571900469974	94905.0				0.5337844164943906
