	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	820.7702008052449	14.0	1276.6146906414183	0.0	0.0	0.4731495296614968
reference	140.90873470113308	4.0	767.0862831513257	0.0	0.0	0.4731495296614968
method	347.96332535228606	1.0	7577.04323961442	0.0	0.0	0.4731495296614968
strain	463.06673324092975	6.0	1680.5778104350775	0.0	0.0	0.4731495296614968
age	1400.248242632948	5.0	6098.195245077855	0.0	0.0	0.4731495296614968
treatment	790.1719935611217	8.0	2150.78965429884	0.0	0.0	0.4731495296614968
sex	572.9104844513021	2.0	6237.679658798906	0.0	0.0	0.4731495296614968
genotype	1437.9379113527602	5.0	6262.336824819132	0.0	0.0	0.4731495296614968
label	196.75401862801627	3.0	1428.1329842285784	0.0	0.0	0.4731495296614968
subsample_ref	0.4089198596152644	1.0	8.904396619112148	0.0028458715610371063	0.0028458715610371063	0.4731495296614968
cutoff	1223.025976483888	1.0	26631.8891440873	0.0	0.0	0.4731495296614968
Residual	3084.4428371607914	67165.0				0.4731495296614968
