	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	212.55544217779035	6.0	729.420645245331	0.0	0.0	0.5447238682658477
reference	125.38289580765522	4.0	645.4095352184602	0.0	0.0	0.5447238682658477
method	228.08494185578667	1.0	4696.276804431089	0.0	0.0	0.5447238682658477
strain	174.6502913407242	4.0	899.0138777214565	0.0	0.0	0.5447238682658477
age	354.559407744882	3.0	2433.4634702860353	0.0	0.0	0.5447238682658477
treatment	0.6967287758926601	4.0	3.586417369973949	0.006284596433051751	0.006913056076356926	0.5447238682658477
sex	332.59203730361446	2.0	3424.0407486326485	0.0	0.0	0.5447238682658477
genotype	179.11039144196053	4.0	921.9722813763112	0.0	0.0	0.5447238682658477
label	222.24874709966116	1.0	4576.109353496671	0.0	0.0	0.5447238682658477
subsample_ref	0.0008203368444916555	1.0	0.01689076386744649	0.8965961278870263	0.8965961278870263	0.5447238682658477
cutoff	277.0494596042626	1.0	5704.4579104320055	0.0	0.0	0.5447238682658477
Residual	797.4246017178336	16419.0				0.5447238682658477
