	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	504.4570856970837	6.0	3180.4018386856756	0.0	0.0	0.5365676846375436
reference	135.41760026206404	4.0	1280.6313869158923	0.0	0.0	0.5365676846375436
method	103.91810853304237	1.0	3930.974738846486	0.0	0.0	0.5365676846375436
strain	389.62431377878227	4.0	3684.640138099206	0.0	0.0	0.5365676846375436
age	395.4591764808127	3.0	4986.426507486643	0.0	0.0	0.5365676846375436
treatment	28.202482943622563	4.0	266.7082031927056	2.466073426439077e-222	2.740081584932308e-222	0.5365676846375436
sex	336.1689840773791	2.0	6358.236322073171	0.0	0.0	0.5365676846375436
genotype	381.2745939350385	4.0	3605.6776303959277	0.0	0.0	0.5365676846375436
subsample_ref	0.0003518203740460962	1.0	0.01330852747908687	0.9081591673382853	0.9081591673382853	0.5365676846375436
cutoff	115.5449381927287	1.0	4370.790035047394	0.0	0.0	0.5365676846375436
Residual	425.64136801894034	16101.0				0.5365676846375436
