	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	1599.3849469709319	14.0	1261.4742068839284	0.0	0.0	0.4687553893030586
reference	1028.5423044206789	4.0	2839.3280589549577	0.0	0.0	0.4687553893030586
method	1288.2158089131985	1.0	14224.664465490374	0.0	0.0	0.4687553893030586
strain	1133.6859624040414	6.0	2086.3872746651764	0.0	0.0	0.4687553893030586
age	3940.5492611175637	5.0	8702.422476312006	0.0	0.0	0.4687553893030586
treatment	2076.789267778766	8.0	2866.5257691379306	0.0	0.0	0.4687553893030586
sex	1264.5018584898107	2.0	6981.405805049602	0.0	0.0	0.4687553893030586
genotype	2567.5766943418216	5.0	5670.310318150474	0.0	0.0	0.4687553893030586
label	12497.644358809164	21.0	6571.4661273611555	0.0	0.0	0.4687553893030586
subsample_ref	5.925856278253121	1.0	65.43415834958905	6.037938937825931e-16	6.037938937825931e-16	0.4687553893030586
cutoff	1421.8436333878642	1.0	15700.20214578726	0.0	0.0	0.4687553893030586
Residual	20665.099096124264	228187.0				0.4687553893030586
