	sum_sq	df	F	PR(>F)	FDR	Rsquared
study	2150.866252914872	5.0	11385.204065290036	0.0	0.0	0.6939741514724183
reference	225.9073936561029	18.0	332.1661386361245	0.0	0.0	0.6939741514724183
method	4.3713283133528585e-05	1.0	0.0011569400193167697	0.9728661615750466	0.9728661615750466	0.6939741514724183
ref_split	0.002280412118160201	1.0	0.06035465311482982	0.8059365106250839	0.9066785744532193	0.6939741514724183
region_match	7.639406903163229	1.0	202.1887841989893	7.3007673497872e-46	1.314138122961696e-45	0.6939741514724183
sex	0.28490371819925114	1.0	7.540419973260748	0.0060335073203365945	0.007757366554718479	0.6939741514724183
disease_state	10.108044304354934	1.0	267.525112149845	4.2782722710564416e-60	9.626112609876994e-60	0.6939741514724183
label	16657.59420567696	11.0	40079.0123538301	0.0	0.0	0.6939741514724183
subsample_ref	2.768809422547958	1.0	73.28084731183426	1.1318876675590869e-17	1.6978315013386303e-17	0.6939741514724183
Residual	7996.4694579069765	211639.0				0.6939741514724183
