query	reference	label	f1_score	accuracy	precision	recall	support	weighted_f1	weighted_precision	weighted_recall	key	cutoff	ref_region	disease	sex	dev_stage	query_region	treatment	genotype	strain	age	method	organism	census_version	subsample_ref	subsample_query	remove_unknown	ref_split	integration_method	dims	max_features	k_anchor	k_score	k_weight	normalization_method	subset_type	batch_correct	nmads	region_match	reference_acronym	study	disease_state
nagy B3	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	L5 CT	0.0	0.0		0.0	0.0056333959266214	0.742831051451373	0.8772117464109843	0.6993355481727574	subclass	0.05	dorsolateral prefrontal cortex		male	late adult	dorsolateral prefrontal cortex				38.71	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	True	WT-DSADAS	nagy	Disease
nagy B4	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	L5 CT	0.0	0.0		0.0	0.007744536388712	0.7512087819245924	0.8434650372823993	0.7174305113515808	subclass	0.05	dorsolateral prefrontal cortex		male	late adult	dorsolateral prefrontal cortex				38.71	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	True	WT-DSADAS	nagy	Disease
nagy B6	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	L5 CT	0.0	0.0		0.0	0.0094598121085595	0.7424224840293595	0.8794394398389117	0.6746477035490606	subclass	0.05	dorsolateral prefrontal cortex		male	late adult	dorsolateral prefrontal cortex				38.71	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	True	WT-DSADAS	nagy	Disease
nagy B1	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	L5 CT	0.0	0.0		0.0	0.0088207094918504	0.8410846498298509	0.9401329891467546	0.7927133269415149	subclass	0.05	dorsolateral prefrontal cortex		male	late adult	dorsolateral prefrontal cortex				38.71	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	True	WT-DSADAS	nagy	Disease
nagy B5	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	L5 CT	0.0	0.0		0.0	0.0084628886659979	0.7171012093107866	0.8286695474066016	0.6758400200601805	subclass	0.05	dorsolateral prefrontal cortex		male	late adult	dorsolateral prefrontal cortex				38.71	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	True	WT-DSADAS	nagy	Disease
nagy B2	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	L5 CT	0.0	0.0		0.0	0.0156871926949192	0.7529264123503707	0.8491221796469752	0.7218450011706861	subclass	0.05	dorsolateral prefrontal cortex		male	late adult	dorsolateral prefrontal cortex				38.71	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	True	WT-DSADAS	nagy	Disease
nagy B4	Dissection Primary somatosensory cortex S1	L5 CT	0.0	0.0		0.0	0.007744536388712	0.7585734313524507	0.8527417607020923	0.7516974326331424	subclass	0.05	primary somatosensory cortex		male	late adult	dorsolateral prefrontal cortex				38.71	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	DPSCS	nagy	Disease
nagy B3	Dissection Primary somatosensory cortex S1	L5 CT	0.0	0.0		0.0	0.0056333959266214	0.7707041297671692	0.848554432029029	0.7381193124368048	subclass	0.05	primary somatosensory cortex		male	late adult	dorsolateral prefrontal cortex				38.71	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	DPSCS	nagy	Disease
nagy B1	Dissection Primary somatosensory cortex S1	L5 CT	0.0	0.0		0.0	0.0088207094918504	0.8480001001607427	0.9346197984792532	0.8138063279002876	subclass	0.05	primary somatosensory cortex		male	late adult	dorsolateral prefrontal cortex				38.71	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	DPSCS	nagy	Disease
nagy B6	Dissection Primary somatosensory cortex S1	L5 CT	0.0	0.0		0.0	0.0094598121085595	0.7739456277406592	0.8738673589928321	0.7312108559498957	subclass	0.05	primary somatosensory cortex		male	late adult	dorsolateral prefrontal cortex				38.71	seurat	homo_sapiens	2024-07-01	100		True	dataset_id	pcaproject	50	200	10	30	50	SCT	sample	True	5	False	DPSCS	nagy	Disease
