"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.7108834588015	0.296443472716159	5.77136491866579	7.86319799106018e-09	1.57263959821204e-08	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.248383441710188	0.0318756581441354	-7.79226080876661	6.58206929488381e-15	2.30372425320933e-14	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.567952406741334	0.0310258558289418	-18.3057772804943	7.44223170024785e-75	5.20956219017349e-74	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"referencewhole cortex"	-0.157653107060756	0.0320329538495556	-4.9215913025437	8.5843337192812e-07	1.50225840087421e-06	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"methodscvi"	0.0602273331423508	0.0363257547916966	1.65797884965401	0.0973217354604486	0.123864026949662	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"cutoff"	-0.39136707107641	0.04586373723313	-8.53325731148011	1.42283746823253e-17	6.63990818508515e-17	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"subsample_ref100"	-0.0224582243107705	0.0189439413417945	-1.18550959937902	0.235816021511993	0.253955715474455	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"subsample_ref50"	-0.047338350159683	0.0187955593626531	-2.51859225077093	0.0117825014078406	0.0164955019709769	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"treatment_statetreatment"	-0.10978162819431	0.0301232969199995	-3.64440945776502	0.000268006461432691	0.000416898940006407	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"sexNone"	0.777858282075104	0.510950499497941	1.52237503014368	0.127915137745951	0.149234327370276	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"methodscvi:cutoff"	-3.74585084207908	0.0660129264817584	-56.7442021088731	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x:methodscvi"	0.277023133411749	0.0450844954784248	6.14453218278372	8.01995290363026e-10	2.24558681301647e-09	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4:methodscvi"	-0.0242140719150238	0.043074954755591	-0.562138069614128	0.574021952245055	0.574021952245055	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"fixed"	"cond"	NA	"referencewhole cortex:methodscvi"	0.270295884766322	0.0452861229402799	5.96862498303883	2.39261332593689e-09	5.58276442718607e-09	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.58892304935881	NA	NA	NA	NA	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	6840.78042332055	-13649.5608466411	-13535.5017045141
